Price,Close,High,Low,Open,Volume
Ticker,IWM,IWM,IWM,IWM,IWM
Date,,,,,
2000-05-26,32.72624206542969,32.72624206542969,32.43544155493715,32.592026445202364,74800
2000-05-30,33.93417739868164,33.93417739868164,33.19599160161078,33.19599160161078,57600
2000-05-31,34.05720520019531,34.493405857931805,34.04602056794566,34.04602056794566,36000
2000-06-01,34.82894515991211,34.82894515991211,34.75624504959116,34.75624504959116,7000
2000-06-02,36.640872955322266,36.640872955322266,36.40599556458302,36.40599556458302,29400
2000-06-05,36.50663757324219,36.90928431118236,36.46189904680439,36.551376099679985,48400
2000-06-06,36.86458969116211,37.51329909713523,36.7527432418564,37.082690267308244,151800
2000-06-07,36.9093132019043,36.9093132019043,36.30534262223677,36.64088183316317,131000
2000-06-08,36.819828033447266,37.311952101938054,36.819828033447266,37.311952101938054,91400
2000-06-09,37.468528747558594,37.468528747558594,37.155358955041685,37.17772822593575,41600
2000-06-12,36.355655670166016,37.58037318928098,36.32769408297161,37.58037318928098,85200
2000-06-13,36.819828033447266,36.819828033447266,35.92505699982765,36.26618845639513,168200
2000-06-14,36.640872955322266,37.12181237445501,36.640872955322266,37.12181237445501,43200
2000-06-15,36.685611724853516,36.685611724853516,36.06486433133846,36.41718041954971,26800
2000-06-16,36.48430633544922,36.86458420651153,36.48430633544922,36.84221491997845,30200
2000-06-19,37.40143585205078,37.40143585205078,36.517849299325896,36.68561889794454,59200
2000-06-20,37.64749526977539,37.70341846536329,37.31195609624798,37.457356404776526,47000
2000-06-21,37.84804153442383,37.9151876755257,37.33325445264278,37.33325445264278,66800
2000-06-22,36.70655059814453,37.95994500881288,36.70655059814453,37.95994500881288,139600
2000-06-23,36.460357666015625,37.06467298644682,36.169391030252456,37.06467298644682,235800
2000-06-26,36.907989501953125,36.907989501953125,36.4379665913764,36.605831916582375,93600
2000-06-27,36.3260612487793,37.28848924243149,36.3260612487793,36.963949570153424,112800
2000-06-28,37.24371337890625,37.3780056146475,36.48272404303918,36.48272404303918,170600
2000-06-29,36.66178894042969,37.1318118755634,36.5498787177788,37.06466574197287,212200
2000-06-30,37.01431655883789,37.01431655883789,36.382023622912165,36.68418130910676,1171800
2000-07-03,37.53469467163086,37.53469467163086,36.88561527659371,36.93037937280317,15800
2000-07-05,37.10942077636719,37.333241167056975,36.98072405172056,37.32205014752249,138800
2000-07-06,37.54588317871094,37.54588317871094,36.77370257086263,37.12062429322926,154600
2000-07-07,37.78089141845703,37.926374708871705,37.551475460495425,37.551475460495425,71800
2000-07-10,38.027069091796875,38.161361272227,37.75848473093662,37.75848473093662,44800
2000-07-11,37.982330322265625,38.17257770455157,37.84803805241672,37.959948277290806,253200
2000-07-12,38.74332046508789,38.74332046508789,38.139005241195704,38.183769331854386,45200
2000-07-13,38.86641311645508,38.86641311645508,38.6761657732418,38.77688495494295,102600
2000-07-14,38.90000534057617,39.067870726108005,38.586656620916756,39.067870726108005,54800
2000-07-17,39.0342903137207,39.10143645531541,38.832851888936595,38.933571101328646,46600
2000-07-18,38.362815856933594,38.77688358934507,38.362815856933594,38.77688358934507,235400
2000-07-19,37.69135284423828,38.23971278763724,37.69135284423828,38.23971278763724,35400
2000-07-20,38.31807327270508,38.31807327270508,38.04948864696182,38.04948864696182,150400
