Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
1999-01-04,76.677490234375,78.0408187373992,75.85949313256049,76.89172757056453,9450400
1999-01-05,77.55393981933594,77.82660560473792,76.6190856979577,76.6190856979577,8031000
1999-01-06,79.42364501953125,79.61840628735747,78.37193417326968,78.41088642683492,7737700
1999-01-07,79.03414154052734,79.28733124975032,78.39142920173055,78.76147569982568,5504900
1999-01-08,79.61839294433594,80.0858199087841,78.50825390377157,79.89105867359737,6224400
1999-01-11,78.85884094238281,79.5794576662327,78.04084358017484,79.5794576662327,7578300
1999-01-12,77.43708801269531,78.66408412557251,77.12546995228205,78.66408412557251,7768800
1999-01-13,76.89175415039062,77.98241732982879,75.02204584278233,75.0415219709866,10810600
1999-01-14,75.54789733886719,77.22284427651674,75.35313606704747,77.047559131879,11400700
1999-01-15,77.5150146484375,77.76820439477662,76.07378070773791,76.2685420510757,7817700
1999-01-19,78.0213851928711,78.29405104227205,76.96967405946745,78.08955165522134,6535100
1999-01-20,78.64460754394531,79.73527074911146,77.9239907833891,78.58617915795426,6534400
1999-01-21,76.5606918334961,78.43040091922889,76.40488274301836,78.2648537605963,6937500
1999-01-22,76.38536834716797,77.18388953590684,75.8984651833028,76.11270257540347,7522300
1999-01-25,77.16441345214844,77.28127021154089,75.97636973165852,76.8333193005365,5700300
1999-01-26,78.56670379638672,78.56670379638672,77.04756574578727,77.35918380744869,6047000
1999-01-27,77.65133666992188,78.91728522360759,77.37867082758957,78.76147617084627,7399400
1999-01-28,78.95625305175781,79.13153827066897,78.02139855089831,78.06035082176746,5961700
1999-01-29,79.55998992919922,79.95925058857465,78.15770858895385,79.36522863194293,6456800
1999-02-01,79.0925521850586,80.20269143020717,79.0925521850586,80.20269143020717,9426800
1999-02-02,78.60565948486328,79.28732402449911,77.75844784274446,79.19968144083165,9194500
1999-02-03,79.40413665771484,79.73523067860795,78.31347400065523,78.3329501195313,10290700
1999-02-04,78.21612548828125,79.4625976076164,77.76817457039517,79.38469310015796,7761100
1999-02-05,77.32022094726562,78.31350338260833,76.79436554031949,78.31350338260833,7516100
1999-02-08,77.47602844238281,77.96293158744554,76.87226854250501,77.96293158744554,8528400
1999-02-09,75.74267578125,77.59290828297762,75.73293771545143,77.5150037565891,8985700
1999-02-10,76.22956085205078,76.65803564478077,75.61606285336923,76.11270409039716,6936700
1999-02-11,77.98240661621094,78.5861665075952,76.34641207181491,76.69698233132834,9181800
1999-02-12,77.04756927490234,78.2161370596582,76.42433312303255,77.78766220524771,10676600
1999-02-16,76.58012390136719,78.29402291034997,76.58012390136719,77.74869140749182,6915500
1999-02-17,76.50226593017578,78.12852336530045,76.19064773901417,76.77493184744219,7858100
1999-02-18,77.1059799194336,77.51497854997365,76.1711259067706,76.77488578994878,9048900
1999-02-19,77.43708801269531,78.37194219393508,76.8917564069721,77.28127898248867,5312200
1999-02-22,79.50155639648438,79.59893703881227,77.45656290759882,77.5539435499267,10695800
1999-02-23,79.46257781982422,80.08581372429342,78.89777028139899,79.5210061858682,7770700
1999-02-24,78.06029510498047,80.30004908129602,77.90448613271504,79.6768131922343,7271000
1999-02-25,77.32022094726562,78.07978986841005,76.46327139520525,77.61236284001349,11633000
1999-02-26,77.00862121582031,77.80714257895856,76.54119407642231,77.74871418653382,9621300
1999-03-01,77.22282409667969,77.47601368388192,76.26849411414821,77.06701511993985,7607200
1999-03-02,76.54118347167969,78.09927372046705,76.2295654219222,77.59289438961116,9651500
1999-03-03,76.95015716552734,77.00858553087701,75.89844658923312,76.71644370412862,7881400
1999-03-04,77.92398834228516,78.20639219906175,76.82358710725913,77.32022837262487,8256400
1999-03-05,79.4918212890625,79.85212967907785,78.8783232195769,79.46260709527748,10703100
1999-03-08,80.00792694091797,80.2708546462983,79.30678639323709,79.94949856194457,4802200
1999-03-09,79.81315612792969,80.98172356757728,79.61839488798843,79.85210837591795,7893400
1999-03-10,80.51432037353516,80.55327263302888,79.63789453492629,80.06636938935729,3950000
1999-03-11,81.41020965576172,81.76077993657601,80.31954655989506,80.82592585440459,6583700
1999-03-12,80.63115692138672,81.66339153897934,80.53377629708552,81.6439154141191,5286500
1999-03-15,81.7802505493164,81.79972667471516,80.70906365238562,80.981729407968,5394400
1999-03-16,81.46863555908203,82.05291934267574,81.31282655012372,81.72182519863931,4547500
1999-03-17,81.11808013916016,81.60498338129196,80.78698593451051,81.44917434380979,4524100
1999-03-18,82.42295837402344,82.50086287154141,80.86486842366382,80.88434454804332,3506300
1999-03-19,81.0219955444336,82.85719255194606,81.0219955444336,82.66195882774261,5526700
1999-03-22,81.17816162109375,81.5881523363518,80.85602605910528,81.25625509066671,4603800
1999-03-23,78.8353500366211,80.92435014903279,78.53273787080444,80.78768659027689,9713800
1999-03-24,79.28439331054688,79.45034192988686,78.48393526431876,79.24534657658454,6280900
1999-03-25,80.90484619140625,80.90484619140625,79.81153745908995,80.0067711612893,6639600
1999-03-26,80.31912994384766,80.67055054156016,79.79199904727889,80.35817667692683,6159700
1999-03-29,81.9395980834961,82.11530844393246,80.69010218705965,80.69010218705965,5863900
1999-03-30,81.5100326538086,81.97859332056102,80.94385518148273,81.17813551485895,5401400
1999-03-31,80.20199584960938,82.22266444027018,80.16294911355796,81.93957560389741,7413600
1999-04-01,80.80723571777344,81.02199280714177,80.04582421910392,81.02199280714177,7683600
1999-04-05,82.72050476074219,82.837644961017,81.37339245758164,81.80290652525602,5791100
1999-04-06,82.52525329589844,83.08166912720506,81.93955242083882,82.5838233834044,5381300
1999-04-07,83.18909454345703,83.32575815805554,82.07626225315498,82.89624394074598,6248600
1999-04-08,84.24333953857422,84.30190964717578,82.64242323679831,83.20860095328003,5909100
1999-04-09,84.26284790039062,84.65331522152312,83.46238989206903,83.98952077559788,4365800
1999-04-12,85.16092681884766,85.21949691982347,83.22811348664547,83.38430042258099,8213200
1999-04-13,84.61430358886719,85.25857493599054,84.02860236420959,85.12191131690376,10071400
1999-04-14,83.18909454345703,85.00476828026565,82.89624394074598,85.00476828026565,11551700
1999-04-15,82.8766860961914,83.44286369260826,81.84194773032611,83.36477023103352,11150000
1999-04-16,82.17389678955078,83.0329254088761,81.95913963471945,83.0329254088761,6476200
1999-04-19,80.90484619140625,84.04810879681561,80.20200486348863,82.89622995383951,12487200
1999-04-20,81.92005157470703,81.95909831044331,80.59246255967365,81.10007012424524,9049600
1999-04-21,84.26284790039062,84.73140868574961,81.47100655429334,81.88099724148246,5772200
1999-04-22,85.06331634521484,85.19997992437861,83.96024602767878,84.41904518629997,6897400
1999-04-23,84.84855651855469,85.43425755296717,84.34094895539721,84.88760325418218,4593100
1999-04-26,85.3366470336914,85.47331061850856,84.63380574034596,85.27807692591261,3606500
1999-04-27,85.74665069580078,85.90283767338876,84.86809894686839,85.66855720700678,5147200
1999-04-28,84.57521057128906,85.74661237975567,84.34093020959574,85.23900492942015,5544300
1999-04-29,83.93095397949219,85.00473915485205,83.59905674347186,84.69236528565645,9824300
1999-04-30,83.24765014648438,84.73142627479882,82.15434142035794,84.399528982939,10991900
1999-05-03,84.77046203613281,84.86807887403715,83.1500225269207,83.36477957031025,10709700
1999-05-04,83.56004333496094,84.8485860592851,83.1695758427415,84.41907181784372,10509300
1999-05-05,84.22383117675781,84.38001816085935,82.36911074055197,83.6771767324024,10032300
1999-05-06,83.70648193359375,84.41908522002551,82.70102798150509,83.9895709103954,13507200
1999-05-07,84.3409652709961,84.41905875735813,83.36479669147067,84.02859132554796,8680700
1999-05-10,83.92121887207031,84.79000897089715,83.42337286038304,84.2433545266915,5580100
1999-05-11,84.77046203613281,85.51235000420583,84.16523764112588,84.53618162516238,7000600
1999-05-12,85.43423461914062,85.72708505773457,82.15430970688843,84.80948701680687,13865800
1999-05-13,85.80519104003906,86.21518171395051,85.47329382782503,85.746620943766,4485700
1999-05-14,83.57955169677734,84.887617560754,83.40384135684018,84.06763597438058,8370100
1999-05-17,83.83329772949219,84.01876962712382,82.70094298605704,83.48187729187438,6268100
1999-05-18,83.67716217041016,84.33119505251672,82.85718064657506,84.04810619309747,8218600
1999-05-19,84.28240203857422,84.34097215812847,83.24766325978236,84.00907481398768,5052400
1999-05-20,83.7747802734375,84.71190202900146,83.75525690352991,84.41905148038772,4670400
1999-05-21,83.30622863769531,84.14573363685653,82.83766770793092,83.79431293953323,6418200
1999-05-24,81.92005157470703,83.61858457923503,81.46125242980578,83.61858457923503,7952000
1999-05-25,80.59251403808594,82.68151573432509,80.24109319198963,82.0762909438259,15406400
1999-05-26,81.49053192138672,81.84195251903525,80.02627943118452,80.78769072608966,12575900
1999-05-27,80.31912994384766,81.39291510352477,79.96770934613515,81.11958797197059,14515400
1999-05-28,81.34414672851562,81.68580581113869,80.3386928567963,80.59249674674487,8748000
1999-06-01,81.06100463867188,81.31480836225153,80.20197665117149,81.29528499889925,6705300
1999-06-02,81.13909149169922,81.33432510934045,79.97745146673384,81.06099804464272,6981900
1999-06-03,81.58817291259766,81.76388326345035,81.08056523235656,81.64674302954856,6076600
1999-06-04,83.22811126708984,83.31596641621063,81.802905514686,82.13480274469785,9787200
1999-06-07,83.4428939819336,83.8333614315449,83.03290315984174,83.36480049201134,5299100
1999-06-08,82.6229019165039,83.58930873239873,82.21291114612428,83.3257432371547,4895700
1999-06-09,82.54480743408203,83.15003189729313,82.349573736272,82.72051776211107,7409700
1999-06-10,81.78336334228516,82.13478385795982,80.9633821390443,82.11526049597789,7040700
1999-06-11,81.10002899169922,82.60332755509855,80.65099175847604,81.97858010017934,12824800
1999-06-14,81.17816162109375,81.68576917331801,80.93411952867824,81.64672243853153,6823500
1999-06-15,81.72481536865234,82.25194628479034,81.26601623793965,81.51005832874428,5700900
1999-06-16,83.28670501708984,83.63812571336449,82.70100385663211,82.70100385663211,7865800
1999-06-17,84.06761932373047,84.69236707532345,82.85717055501907,83.01335749291731,8162800
1999-06-18,84.16474914550781,84.39973681180518,83.5772799797644,84.00809070130957,2875100
1999-06-21,84.36058807373047,84.75223425791677,83.75353648824169,84.26267652768388,4646400
1999-06-22,83.77310180664062,84.71305245804754,83.65560797521476,83.96892485901706,5862400
1999-06-23,83.36183166503906,83.73389527829623,82.79394509743602,83.34224936960447,9629200
1999-06-24,82.73526000976562,83.30314700154862,81.87363836706037,83.26398238142566,9176900
1999-06-25,82.52964782714844,83.35210487038968,82.24570432412467,83.08774367791928,4087000
1999-06-28,83.53810119628906,83.73392421831505,83.02896133902148,83.14645515223708,5028900
1999-06-29,84.3213882446289,84.7130342652728,83.20519708579383,83.34227319301918,6956200
