time,close,20w SMA,21w EMA,Up Trend,Down Trend,Macro Score Heatmap,Rate Hike,Rate Cut,LA1,LA2,ATR,MACD,Signal Line,Histogram,Cross
1618407000,328.28,,,,,1,0,0,,,,,,,
1618493400,322.75,,,,,1,0,0,,,,,,,
1618579800,342,,,,,1,0,0,,,,,,,
1618839000,333,,,,,1,0,0,,,,,,,
1618925400,320.82,,,,,1,0,0,,,,,,,
1619011800,311.92,,,,,1,0,0,,,,,,,
1619098200,293.45,,,,,1,0,0,,,,,,,
1619184600,291.6,,,,,1,0,0,,,,,,,
1619443800,304.54,,,,,1,0,0,,,,,,,
1619530200,302,,,241.35070000000002,,1,0,0,,,,,,,
1619616600,298.05,,,243.93060000000006,,1,0,0,,,,,,,
1619703000,294.77,,,243.93060000000006,,1,0,0,,,,,,,
1619789400,297.64,,,247.29904650000003,,1,0,0,,,,,,,
1620048600,294.21,,,252.65318685000003,,1,0,0,,,24.594735714285708,,,,
1620135000,280.66,,,252.65318685000003,,1,0,0,,,24.166540306122442,,,,
1620221400,273,,,252.65318685000003,,1,0,0,,,23.87964456997084,,,,
1620307800,256.76,,,252.65318685000003,,1,0,0,,,23.78038424354435,,,,
1620394200,263.7,,,252.65318685000003,,1,0,0,,,22.8183567975769,,,,
1620653400,293.45,,,252.65318685000003,,1,0,0,,,23.912045597749977,,,,
1620739800,303,,,252.65318685000003,,1,0,0,,,24.119042340767834,,,,
1620826200,283.61,,,252.65318685000003,,1,0,0,,,24.266967887855845,,,,
1620912600,265.1,,,252.65318685000003,,1,0,0,,,24.872184467294716,,,,
1620999000,258.37,,,252.65318685000003,,1,0,0,,,24.83052843391652,,,,
1621258200,248.24,,,,292.5421409461767,1,0,0,,,24.494062117208195,,,,
1621344600,239,,,,291.528426851559,1,0,0,,,23.72055768026475,,,,
1621431000,224.8,,,,266.2763341664031,1,0,0,,,24.240517845960124,-25.706003064451522,,,
1621517400,233.4,,,,266.2763341664031,1,0,0,,,23.509052285534402,-26.21945163967729,,,
1621603800,224.35,,,,266.2763341664031,1,0,0,,,22.90626283656766,-27.044866316681208,,,
1621863000,225.3,,,,266.2763341664031,1,0,0,,,21.767244062527116,-27.307571646907235,,,
1621949400,242.41,,,,266.2763341664031,1,0,0,,,21.547440915203747,-25.837297228743495,,,
1622035800,241.52,,,,266.2763341664031,1,0,0,,,20.72385942126062,-24.46192784438452,,,
1622122200,247.09,,,,266.2763341664031,1,0,0,279.3371875,,19.73786946259915,-22.661260345591757,,,
1622208600,236.54,,,,266.2763341664031,1,0,0,276.7434185606061,,19.0815930724135,-21.83382842664483,,,
1622554200,238.93,,,,266.2763341664031,1,0,0,274.45169622359964,,18.302150710098253,-20.746081727451156,-24.646476471170335,3.900394743719179,
1622640600,240.48,,,,266.2763341664031,1,0,0,272.3928055433815,,17.365568516519808,-19.533789222641815,-23.960674933191477,4.426885710549662,
1622727000,233.66,,,,266.2763341664031,1,0,0,270.04536278317653,,16.69659219391125,-18.905425702091605,-23.148005384570848,4.242579682479242,
1622813400,228.79,,,,257.92397952426,1,0,0,267.54503776601433,,15.943978465774732,-18.58616168226348,-22.20814931407999,3.621987631816509,
1623072600,231.45,,,,255.486581571834,1,0,0,265.3574597195892,,15.23798000393368,-17.91202421166011,-21.16419959905253,3.2521753873924197,
1623159000,220.66,,,,249.5354234146506,1,0,0,262.6485227668868,,15.153124289366987,-18.040468937407752,-20.29788534445967,2.2574164070519167,
1623245400,224.32,,,,249.5354234146506,1,0,0,260.3255819931361,,14.955686840126488,-17.643547067980307,-19.540287480414758,1.8967404124344505,
1623331800,221.85,,,,249.5354234146506,1,0,0,257.9937285390066,,14.481394922974596,-17.328539368936248,-18.947762927453034,1.6192235585167865,
1623418200,223.92,,,,247.2104291692803,1,0,0,255.92865408209713,,13.724866714190698,-16.719134027873963,-18.379463549811828,1.6603295219378644,
1623677400,239.1,,,,247.2104291692803,1,0,0,254.90873565287913,,13.875947663177076,-14.8402080879776,-17.723255367648097,2.883047279670496,
1623763800,232.21,,,,247.2104291692803,1,0,0,253.53305470421978,,13.466237115807285,-13.74862556426416,-17.080459405606135,3.3318338413419752,
1623850200,228.05,,,,247.2104291692803,1,0,0,251.98862714638827,,13.104363036106765,-13.06856944951133,-16.431919821986106,3.363350372474777,
1623936600,230.66,,,,247.2104291692803,1,0,0,250.69598307691018,,12.659765676384852,-12.17862725761654,-15.71997155258089,3.5413442949643503,
1624023000,229.29,,,,247.2104291692803,1,0,0,249.39865076921865,,12.197639556643077,-11.451879075845795,-15.002177648601522,3.550298572755727,
1624282200,222.6,,,,242.79013295815147,1,0,0,247.77449011653874,,12.07800815974,-11.285658943964478,-14.251643204885603,2.9659842609211253,
1624368600,222.47,,,,238.25637966233634,1,0,0,246.24088465493034,,12.099579005472856,-11.037188368342754,-13.517603349370319,2.4804149810275646,
1624455000,226.01,,,,238.25637966233634,1,0,0,245.01477043341941,,11.810544790796225,-10.434344602618125,-12.751581708668304,2.317237106050179,
1624541400,229.93,,,,238.25637966233634,1,0,0,244.10054192230308,,11.254791591453637,-9.530414648245653,-11.952835110931826,2.4224204626861727,
1624627800,224.54,,,,238.25637966233634,1,0,0,242.91505453307258,,10.930163620635522,-9.143570215067825,-11.319875347275184,2.176305132207359,
1624887000,246.69,,,215.38364332354112,,1,0,0,243.14383910682577,,11.829437647732986,-6.969335172377868,-10.566620859287818,3.5972856869099505,
1624973400,254.9,,,233.147778991187,,1,0,0,243.85633370641207,,12.017334958609199,-4.531523270870025,-9.618060172772118,5.086536901902093,
1625059800,253.3,,,233.147778991187,,1,0,0,244.42867711814466,,11.723239604422828,-2.6975507181687988,-8.564607223944591,5.867056505775793,
1625146200,241.44,,,233.147778991187,,1,0,0,244.24754517159045,,11.93015106124977,-2.1760331829394204,-7.533957680288328,5.3579244973489075,
1625232600,240.72,,,233.147778991187,,1,0,0,244.03375455513043,,11.6437402711605,-1.8000746219142343,-6.4800038667271895,4.679929244812955,
1625578200,235.41,,,233.147778991187,,1,0,0,243.5111027639104,258.56396551724134,11.453465966077605,-1.908596266445329,-5.465715855405254,3.5571195889599245,
1625664600,251.97,,,233.147778991187,,1,0,0,244.02376320246128,258.3404412624196,12.110632682786349,-0.650844321089977,-4.378660268568792,3.727815947478815,
1625751000,244.29,,,233.147778991187,,1,0,0,244.03989876594846,257.86415511793075,12.557016062587323,-0.2706586736339318,-3.3497984936119343,3.0791398199780025,
1625837400,253.88,,,233.147778991187,,1,0,0,244.63626853770916,257.7290990122382,12.572943486688228,0.795306248716372,-2.2454788865248014,3.0407851352411734,
1626096600,247.67,,,233.147778991187,,1,0,0,244.82013105057527,257.38811260504366,12.25059038049621,1.1260160169541678,-1.3459954210434641,2.472011437997632,
1626183000,243.31,,,233.147778991187,,1,0,0,244.72860795660102,256.9108884489405,11.819812496175052,1.0244807525598105,-0.7286616406623713,1.753142393222182,
1626269400,229.94,,,,262.5045219569234,1,0,0,243.83232868650398,255.99662104389168,12.28196874644826,-0.13329736914587897,-0.4437446018820468,0.3104472327361678,
1626355800,224.63,,,,252.01956976123103,1,0,0,242.66855119035222,254.93334575426823,12.411828121701957,-1.4624591753922402,-0.3644586010434712,-1.098000574348769,-0.3644586010434712
1626442200,225.01,,,,250.24896278510795,1,0,0,241.59833596669452,253.9189950507337,12.28494754158039,-2.456845671164814,-0.43743316207131344,-2.0194125090935007,
1626701400,220.61,,,,241.75304150659713,1,0,0,240.32631560507667,252.78987657443764,12.24959414575322,-3.5589223197483193,-0.6208027235494235,-2.938119596198896,
1626787800,224.96,,,,241.75304150659713,1,0,0,239.39502375022354,251.84649092784653,12.350337421056562,-4.034806619125732,-0.9967985344422851,-3.0380080846834465,
1626874200,230.87,,,,241.75304150659713,1,0,0,238.8783556441494,251.135423438767,12.338884748123949,-3.89021674975902,-1.3989716540117394,-2.4912450957472805,
1626960600,226.08,,,,241.75304150659713,1,0,0,238.10269772632216,250.28608705101217,12.016107266115096,-4.114709396269319,-1.9445289478990384,-2.1701804483702807,
1627047000,224.92,,,,241.75304150659713,1,0,0,237.3037463489693,249.42621969335073,11.487563889964019,-4.336238285742979,-2.551446092643166,-1.7847921930998134,
1627306200,245.45,,,218.90772127076946,,1,0,0,237.797458691456,249.29143258510155,12.444166469252306,-2.8226641873449125,-2.9789066415214682,0.1562424541765557,-2.9789066415214682
1627392600,235.08,,,218.90772127076946,,1,0,0,237.63276422530714,248.80968910764048,12.721726007162854,-2.4318848887442073,-3.2343052548101716,0.8024203660659643,
1627479000,241.75,,,218.90772127076946,,1,0,0,237.88229366619763,248.57037761246622,12.369152720936935,-1.5659252116212201,-3.245801481057836,1.6798762694366158,
1627565400,235.78,,,218.90772127076946,,1,0,0,237.7548819288523,248.13680549000975,12.187777526584295,-1.3458607898112405,-3.1223587164629945,1.776497926651754,
1627651800,236.58,,,218.90772127076946,,1,0,0,237.68367696346732,247.74504937170434,11.758250560399702,-1.0942905358027133,-2.848510740469038,1.754220204666325,
1627911000,235.4,,,218.90772127076946,,1,0,0,237.54527229901475,247.32657312181607,11.38812552037115,-0.9788518406586775,-2.5089602095282544,1.530108368869577,
1627997400,230.18,,,218.90772127076946,,1,0,0,237.09889215968053,246.74533335497483,11.201823697487496,-1.2936636682163964,-2.220454311579074,0.9267906433626774,
1628083800,244.36,,,218.90772127076946,,1,0,0,237.53895930151808,246.66447459717907,11.517286290524103,-0.39440041438592743,-1.807086646925364,1.4126862325394365,
1628170200,255.5,,,223.52023802414578,,1,0,0,238.6275072226382,246.9639839328679,12.174622984058095,1.2033061282377844,-1.1915817120386123,2.3948878402763967,
1628256600,258.26,,,232.34421422173122,,1,0,0,239.81735526975103,247.34689973175375,12.281435628053943,2.661528563304927,-0.5822269619664079,3.2437555252713346,
1628515800,280.47,,,247.88229279955812,,1,0,0,242.28115192006916,248.4697166899994,13.130618797478663,5.545417610000783,0.30413998233859096,5.241277627662192,
1628602200,269.67,,,247.88229279955812,,1,0,0,243.94108210673164,249.18837036152485,13.424860311944473,6.88014073650038,1.2425917543521021,5.637548982148278,
1628688600,278.4,,,254.26705716764206,,1,0,0,246.02950137299032,250.17859509503248,14.203798861091295,8.543868077928835,2.3414505174343327,6.202417560494502,
1628775000,256.5,,,254.26705716764206,,1,0,0,246.66407704735454,250.3928800070653,14.846384656727631,8.002983595253937,3.352258754218405,4.650724841035532,
1628861400,261.25,,,254.26705716764206,,1,0,0,247.5480723778179,250.76091797292747,14.50021432410423,7.866928988084084,4.335123290745378,3.5318056973387053,
1629120600,256.83,,,254.26705716764206,,1,0,0,248.11061344582893,250.96664956706553,14.309356158096787,7.318089293143771,5.291984730896508,2.026104562247263,
1629207000,250.8,,,,283.1412700973101,1,0,0,248.27360657032415,250.9610004291989,14.323687861089875,6.323664013140501,6.0384363339550005,0.2852276791855006,
1629293400,244.39,,,,277.89864308757905,1,0,0,248.03823647515298,250.73825465193792,14.060567299583456,4.961152309284472,6.455974798515744,-1.4948224892312716,6.455974798515744
1629379800,248.24,,,,272.53325877882116,1,0,0,248.05046456756796,250.65356805356714,13.811841063898925,4.144242543479493,6.620720796312917,-2.4764782528334246,
1629466200,257.32,,,,272.53325877882116,1,0,0,248.61225459377596,250.87954879751402,13.709566702191859,4.181316173763577,6.469153970064339,-2.287837796300762,
1629725400,256,,,,272.53325877882116,1,0,0,249.05999673960773,251.05312341454743,13.551740509178156,4.057412993230997,6.1555175541455185,-2.0981045609145212,
1629811800,259.28,,,,272.53325877882116,1,0,0,249.6793908766012,251.33200058693566,13.087323329951147,4.175751948731346,5.67017131756802,-1.4944193688366738,
1629898200,256.77,,,,272.53325877882116,1,0,0,250.1091247628678,251.51633955009038,12.588943092097495,4.020652817585102,5.22769012004926,-1.2070373024641583,
1629984600,248.54,,,,272.53325877882116,1,0,0,250.01402629239095,251.4154466839856,12.280447156947673,3.1967927824410936,4.708786097200039,-1.5119933147589455,
1630071000,259.12,251.88999999999993,,,272.53325877882116,1,0,0,250.5659034867915,251.67661798283356,12.230679502879983,3.3588763129414474,4.268873543844226,-0.9099972309027784,
1630330200,262.66,,,,272.53325877882116,1,0,0,251.29887903304657,252.0489360173138,11.86325953838856,3.729980203641844,3.98068645389993,-0.2507062502580859,
1630416600,259,,,,272.53325877882116,1,0,0,251.76561363710437,252.28456530486247,11.460169571360804,3.686258406285816,3.8390315757889684,-0.15277316950315223,
1630503000,265.9,,,,272.53325877882116,1,0,0,252.6222431136435,252.74610546401968,11.603721744835031,4.160422144468015,3.8408293092321375,0.31959283523587745,3.8408293092321375
1630589400,268.18,,,,272.53325877882116,1,0,0,253.56513747039236,253.26928832964612,11.472027334489676,4.666386074445882,3.894725964863505,0.7716601095823767,
1630675800,278.44,248.71199999999993,253.15428571428566,253.06227236528457,,1,0,0,255.07270489642917,254.12253279304795,11.5404539534547,5.828079910474742,4.091466733446143,1.7366131770285982,
1631021400,266.81,,,253.06227236528457,,1,0,0,255.7840561148274,254.55261642718193,11.878271528207936,5.744072745990536,4.265724599808276,1.4783481461822605,
1631107800,258.2,,,253.06227236528457,,1,0,0,255.930476956353,254.67625654829442,11.953394990478799,4.9259580416682525,4.366314069150848,0.5596439725174047,
1631194200,256.42,,,253.06227236528457,,1,0,0,255.96014501960434,254.73536649580987,11.67886677687317,4.086854406752877,4.4652098051854905,-0.3783553984326131,4.4652098051854905
1631280600,248.32,246.54799999999994,252.71480519480514,,275.9589065211368,1,0,0,255.4971059275071,254.51789644510444,11.663947721382229,2.736709343423115,4.396080141905675,-1.65937079848256,
1631539800,242.84,,,,268.7375158690231,1,0,0,254.73000859856728,254.12203554866022,11.707951455569212,1.2105648141086363,4.116145098624208,-2.9055802845155716,
1631626200,243,,,,267.2322942821208,1,0,0,254.0190989865329,253.74501739446836,11.408662065885697,0.013835455653037343,3.708098104109455,-3.6942626484564176,
1631712600,247.07,,,,267.2252098539087,1,0,0,253.59794147219756,253.51874561838468,11.123757632608147,-0.5992583204093478,3.1792447191230813,-3.778503039532429,
1631799000,243.21,,,,264.4236888685179,1,0,0,252.96836926176135,253.16929661437163,10.889917801707565,-1.3806935202256625,2.5073469863817985,-3.888040506607461,
1631885400,245.19,243.92549999999991,252.0307319952774,,262.36581998166605,1,0,0,252.49695294286673,252.898811983376,10.603495101585596,-1.8192459585976621,1.6576441120404202,-3.476890070638082,
1632144600,236.53,,,,255.22123798349946,1,0,0,251.52925882511724,252.34393700088867,10.848959737186624,-2.8329352369962635,0.7046432250418869,-3.5375784620381503,
1632231000,238.46,,,,255.22123798349946,1,0,0,250.7371825326859,251.87329506865515,10.50260547024472,-3.4408919623855354,-0.22500677540853392,-3.2158851869770015,
1632317400,241.85,,,,255.22123798349946,1,0,0,250.1985654094928,251.53352235446346,10.140990793798668,-3.6075715396861483,-1.0799429916795367,-2.5276285480066116,
1632403800,237.5,,,,255.22123798349946,1,0,0,249.42895538467505,251.05780973227826,10.040205737098765,-4.044057572731475,-1.8333615379189356,-2.2106960348125395,
1632490200,231.82,242.33149999999995,250.19339272297944,,250.989458740974,1,0,0,248.36174596742202,250.4056805888112,9.91804104159171,-4.793053096368368,-2.5004301946386027,-2.2926229017297652,
1632749400,232.24,,,,248.4587678668766,1,0,0,247.38467045424494,249.78989480613964,9.641680967192302,-5.291746989857472,-3.089939355250882,-2.2018076346065905,
1632835800,229.84,,,,247.29066108018893,1,0,0,246.3213570933816,249.11362718559255,9.309603755249993,-5.813609761225166,-3.6693117375637505,-2.1442980236614155,
1632922200,225.28,,,,246.69792497217003,1,0,0,245.04612333014637,248.30570761997924,9.268203487017852,-6.519985325559134,-4.24034416037858,-2.2796411651805535,
1633008600,227.48,,,,244.14063247495304,1,0,0,243.98150979498598,247.59975142947147,8.942617523659434,-6.823613071683354,-4.796384950721436,-2.0272281209619187,
1633095000,231.15,240.97049999999996,248.46217520270858,,244.14063247495304,1,0,0,243.20384253468382,247.04213273694702,8.934644843398045,-6.6909725528726085,-5.225055763596584,-1.465916789276024,
1633354200,229.31,,,,244.14063247495304,1,0,0,242.3617914719757,246.4410434916268,8.9100273545839,-6.657582145794436,-5.582465783975351,-1.0751163618190844,
1633440600,240.09,,,,244.14063247495304,1,0,0,242.2241071403408,246.22575388174116,9.043596829256478,-5.695608668501876,-5.814469909399321,0.11886124089744499,-5.814469909399321
1633527000,250.38,,,229.3111147331833,,1,0,0,242.71840367728984,246.36657578405502,9.258339912881013,-4.056163822548996,-5.815815048267934,1.7596512257189385,
1633613400,251.59,,,231.782703259865,,1,0,0,243.25607618169653,246.54364101171416,9.121958490532368,-2.6289501817306586,-5.575359168863745,2.9464089871330863,
1633699800,248.14,242.15999999999994,248.4328865479169,233.8954829338785,,1,0,0,243.55207156462401,246.59775487572384,9.133247169780056,-1.7560169852863226,-5.18250027946695,3.4264832941806276,
1633959000,256.5,,,236.94743464049066,,1,0,0,244.33679450010135,246.9334242019705,9.555872371938623,-0.38518878880955754,-4.579342393642993,4.194153604833436,
1634045400,249.33,,,236.94743464049066,,1,0,0,244.63941301524673,247.01466405953082,9.617595773943005,0.12124571029681874,-3.8414278341034436,3.9626735444002623,
1634131800,246.78,,,236.94743464049066,,1,0,0,244.76914555977723,247.0067093456484,9.299910361518503,0.31322435534832493,-3.04844589776659,3.361670253114915,
1634218200,260,,,236.94743464049066,,1,0,0,245.69222764706345,247.4471598763044,9.790631049981467,1.5146523609545,-2.1367097962302446,3.6513621571847446,
1634304600,280.61,244.36349999999993,251.35807867992446,252.1198521176259,,1,0,0,247.80845627451416,248.57132394829407,10.64272883212565,4.082783677472662,-0.9433358158672339,5.026119493339896,
1634563800,293.34,,,259.3393669058633,,1,0,0,250.56794377302845,250.08890618733494,11.702533915545247,7.063823498933061,0.4743788694033147,6.589444629529747,
1634650200,305.63,,,275.66748021527695,,1,0,0,253.9050380898146,251.97165513013715,11.90306720729202,10.299295455929865,2.06942990034541,8.229865555584455,
1634736600,314.71,,,285.20168719374925,,1,0,0,257.5901872964925,254.09837868504775,12.010705263914021,13.441168978295707,3.8549986959038955,9.586170282391812,
1634823000,300.01,,,285.20168719374925,,1,0,0,260.161085036099,255.6547048313173,12.52279774506302,14.576925510311128,5.669770084303612,8.907155426007517,
1634909400,300.84,247.96599999999995,255.85643516356768,285.20168719374925,,1,0,0,262.62647382178994,257.1864097522896,12.512597906129946,15.366855266046173,7.419997201509805,7.946858064536368,
1635168600,325.54,,,286.9246849642432,,1,0,0,266.4394148022875,259.5034806081442,13.48741234140638,17.780995612949198,9.382191635137847,8.398803977811351,
1635255000,319.49,,,293.1837864678189,,1,0,0,269.65460178396705,261.5369219434613,13.450447174163065,18.987162601400826,11.457073662477013,7.530088938923813,
1635341400,311.67,,,293.1837864678189,,1,0,0,272.2009895546357,263.2363483182592,13.473986661722844,19.091969642479455,13.410108915979785,5.68186072649967,
1635427800,319.13,,,293.1837864678189,,1,0,0,275.0451720058699,265.13104837526737,13.70584475731407,19.55161083258406,15.128867488769941,4.422743343814119,
1635514200,319.42,252.74099999999993,261.6349410577888,293.1837864678189,,1,0,0,277.73455552066565,266.97135182017354,13.466855846077351,19.712052097394405,16.534226221932315,3.1778258754620907,
1635773400,330.99,,,301.87736599653596,,1,0,0,280.9621582163829,269.1414754872863,13.862794714214683,20.536078135665775,17.67164651968075,2.8644316159850263,
1635859800,336.34,,,309.4841293968824,,1,0,0,284.3183910517536,271.41939157246304,13.891166520342205,21.374433827922076,18.553120391861455,2.8213134360606205,
1635946200,344.38,,,309.4841293968824,,1,0,0,287.9584885637685,273.89263253610835,14.05322605460348,22.42904944062525,19.425578606340803,3.003470834284446,
1636032600,344.45,,,310.90139481147474,,1,0,0,291.3822165296007,276.28440770437584,13.904424193560375,23.005297576610644,20.274294418625743,2.731003157984901,
1636119000,337.05,258.12899999999996,268.4908555070807,310.91115533032723,,1,0,0,294.1499609823522,278.34425829066817,13.753251036877492,22.604292012763153,20.810216240827295,1.7940757719358587,
1636381800,353.92,,,323.5586397972945,,1,0,0,297.7723875894824,280.90614784013707,14.6365902485291,23.378270080828372,21.2981170718748,2.080153008953573,
1636468200,357.39,,,324.4862758175651,,1,0,0,301.3855762204228,283.4988207947087,15.293976659348447,23.995053238647756,21.84290413811572,2.1521491005320357,
1636554600,328.6,,,324.4862758175651,,1,0,0,303.0349352373669,285.02767432709146,16.872264040823556,21.908201829661266,22.10474758223541,-0.19654575257414564,22.10474758223541
1636641000,336.39,,,324.4862758175651,,1,0,0,305.0564543138901,286.76877011261377,16.7734737521933,20.644962670715586,22.20840431260443,-1.5634416418888435,
1636727400,342.98,264.05099999999993,275.2625959155279,324.4862758175651,,1,0,0,307.35485102213914,288.6742355325252,16.39251134132235,19.945673156775683,22.142803759394422,-2.1971306026187385,
