asset,strategy,return_pct,cagr_pct,max_dd_pct,sharpe,trades,win_rate,profit_factor,avg_win,avg_loss,chop_pct,exposure_pct
BTC,Buy & Hold,54642.40637677528,,-83.23667459124158,,1,,,,,0.0,100.0
BTC,Baseline,60066.224268913335,61.683496577631544,-66.33819370204725,1.0988752691677048,8,75.0,62.049811560924475,497.21755,-24.0396,0.0,57.90229885057471
BTC,Filtered,16568.0600738376,46.82927177129868,-66.33819370204725,1.02300380361326,7,71.42857142857143,56.62195086440706,544.46762,-24.0396,0.0,53.44827586206896
BTC,Hybrid,12252.09581884295,43.56275460813841,-66.33819370204725,0.9879994521856428,6,83.33333333333334,84.67623151630394,521.90534,-30.8177,0.0,49.2816091954023
BTC,Scaled 25%,16173.79423748744,46.56562548272218,-70.78871094343798,1.0057188040451677,8,75.0,62.14807891541234,422.78544645153994,-20.40861699170037,0.0,52.065452916324
BTC,Trail 15% + Reentry,11241.747224331617,42.64592660729758,-64.58291034914764,0.9758909080897366,72,51.388888888888886,2.7359833424820614,30.70569058291681,-11.864217507962413,6.944444444444445,48.275862068965516
BTC,Trail 20% + Reentry,16066.820082879189,46.493072820183826,-68.09642149562329,0.9937522532815305,50,46.0,3.5543387277588097,57.1420295171362,-13.694964771531124,8.0,51.00574712643679
BTC,Trail 25% + Reentry,20106.672603612496,48.96691387849516,-66.89111285142486,1.0094449957653107,31,54.83870967741935,5.429257363496253,77.39064852307722,-17.308879028781803,6.451612903225806,54.02298850574713
ETH,Buy & Hold,358023.19718405494,,-93.64572025851703,,1,,,,,0.0,100.0
ETH,Baseline,15816.48210417211,58.29255100959938,-90.64216372005289,0.9328967438367729,10,40.0,20.23094923268021,820.468675,-27.036749999999998,0.0,51.47313691507799
ETH,Filtered,245.7613631270001,11.89394170461946,-73.45471861499718,0.47559127094437215,6,33.33333333333333,9.517021260866994,514.9546,-27.0544,0.0,29.98266897746967
ETH,Hybrid,-53.347228482792765,-6.673637858305748,-86.87498013465414,0.006598978212193552,5,20.0,0.3120586103699843,27.2987,-21.86985,0.0,20.623916811091856
ETH,Scaled 25%,1399.5317556199661,27.798934796332443,-81.77162012746328,0.7011165088343213,10,40.0,8.554320122367805,205.265272370409,-15.997006536590566,0.0,35.30692320335345
ETH,Trail 15% + Reentry,1595.0213928542307,29.225515345106,-84.98304131241473,0.68226286907028,79,51.89873417721519,1.9790588938371865,27.46077085767059,-14.971119123317365,6.329113924050633,38.82149046793761
ETH,Trail 20% + Reentry,611.1561656208595,19.44765584408341,-88.58761405375927,0.576544825190072,61,49.18032786885246,1.9271414072233701,34.910736304004104,-17.53093125048923,4.918032786885246,41.59445407279029
ETH,Trail 25% + Reentry,2596.7487700835027,34.77728038425574,-76.3674812250996,0.7389781257124668,44,52.27272727272727,2.706633969715664,42.63241572606071,-17.25118590753314,6.8181818181818175,44.88734835355286
