asset,strategy,return_pct,cagr_pct,max_dd_pct,sharpe,trades,win_rate,profit_factor,avg_win,avg_loss,chop_pct,exposure_pct
BTC,Buy & Hold,54642.40637677528,,-84.73121646192736,,1,,,,,0.0,100.0
BTC,Baseline,47568.42493031235,58.881653665959654,-74.81599427612664,1.1494960390778373,68,45.588235294117645,4.146419423837907,52.57107419354839,-10.62266756756757,4.411764705882353,59.1983556012333
BTC,Filtered,17273.420528924104,47.28687674078864,-56.60777389953675,1.1996980980574679,34,52.94117647058824,7.1793342101652255,59.58907222222222,-9.33759375,0.0,35.231243576567316
BTC,Hybrid,20856.19512607713,49.374808680573715,-59.8658230871385,1.1434289723184163,38,52.63157894736842,5.516715242898599,60.63595500000001,-12.212572222222223,0.0,38.910585817060635
BTC,Scaled 25%,28687.375851092846,52.97825901481714,-65.36141841783628,1.1914339191055647,67,37.3134328358209,5.248206220184029,50.29501052753678,-5.704331158187831,20.8955223880597,43.06342644220606
BTC,Trail 15% + Reentry,39708.41995249953,56.746744508856,-69.35917111219297,1.1439020164790967,97,45.36082474226804,3.1930394227084595,36.99869001708774,-9.619641204754464,7.216494845360824,57.985611510791365
BTC,Trail 20% + Reentry,55113.315737028315,60.644050943675374,-75.12468026164156,1.187102815531075,78,42.30769230769231,3.9887890336399328,52.52198986691948,-9.65609501469675,7.6923076923076925,58.74614594039055
BTC,Trail 25% + Reentry,47097.49328814513,58.7632676240808,-76.88797398529019,1.153518158568502,71,45.07042253521127,4.1909765630468785,52.82407516337469,-10.341940655418783,7.042253521126761,59.01336073997945
BTC,Daily + Weekly green,10037.390349767407,41.44873958239257,-75.52367413283632,1.036229426021432,33,42.42424242424242,5.707252483533337,82.08097142857143,-10.597168421052633,9.090909090909092,31.73689619732785
ETH,Buy & Hold,184938.80704502022,,-94.21601357668762,,1,,,,,0.0,100.0
ETH,Baseline,3604920.2321554343,158.58038192526013,-65.51358510086364,1.6389950108040177,53,50.943396226415096,15.43322329693957,182.2630518518518,-12.264007692307693,5.660377358490567,52.88866848499876
ETH,Filtered,10334.069472599995,52.31989244119855,-60.69099576020919,1.0287817470646952,35,40.0,6.835967441525718,140.43904285714285,-13.696090476190477,2.857142857142857,30.39920654599554
ETH,Hybrid,230123.43717250906,101.56666957792773,-63.45395872437567,1.3877906375744007,38,44.73684210526316,14.855600361025662,246.69629411764708,-13.443180952380956,5.263157894736842,37.069179271014136
ETH,Scaled 25%,649961.6431538714,121.42971768967641,-56.122220888889984,1.5364099895521526,52,40.38461538461539,17.02452011078136,205.8973948966072,-8.19282302856225,11.538461538461538,40.4233045492875
ETH,Trail 15% + Reentry,394568.21078249597,111.64754507486604,-62.25507244739054,1.4189752480502709,109,47.706422018348626,3.3337717288211244,38.10972803079132,-10.428659266329909,11.009174311926607,51.1033969749566
ETH,Trail 20% + Reentry,1857201.4167902952,143.5100721359206,-59.93612863576725,1.5981110726961336,76,51.31578947368421,4.857742533335364,55.39422193004071,-12.01967864617135,6.578947368421052,51.996032729977685
ETH,Trail 25% + Reentry,1564030.2163452816,139.75163158731667,-68.52219740470899,1.5557542523499281,64,53.125,6.741613954102608,75.9680162598816,-12.770990104252128,7.8125,52.417555169848754
ETH,Daily + Weekly green,3049.629485620088,36.6648205307681,-65.51358510086365,0.9267248411941283,22,54.54545454545454,6.606988016565052,68.0174,-12.35372,13.636363636363635,17.803124225142575
SOL,Buy & Hold,9895.406265991429,,-96.25639341202773,,1,,,,,0.0,100.0
SOL,Baseline,39772.16398361152,156.0832598366583,-77.11322874070055,1.4841927356994815,33,51.515151515151516,7.8308298511734975,113.29096470588235,-15.37150625,9.090909090909092,49.5700773860705
SOL,Filtered,832.4206452799435,41.989886376194654,-80.10617384382144,0.882327928529538,22,40.909090909090914,5.044477681472128,86.86652222222222,-11.921623076923074,13.636363636363635,30.266552020636283
SOL,Hybrid,18415.85508983526,127.02342084396933,-81.70496970285998,1.419248556102688,24,50.0,9.889948183481305,117.71584999999999,-11.902574999999999,8.333333333333332,37.23129836629407
SOL,Scaled 25%,20717.387135242516,131.23879358998022,-76.12666553534146,1.4404140957335938,32,40.625,8.739994396961828,114.80681717794167,-8.98765253594054,9.375,39.02795654175254
SOL,Trail 15% + Reentry,15918.037744870893,121.915743261501,-66.05424078035932,1.3682921695458143,86,45.348837209302324,2.676482293975476,36.260551915139274,-11.241824071187192,5.813953488372093,46.9475494411006
SOL,Trail 20% + Reentry,19884.85277096651,129.76152759829534,-78.59188902975538,1.3888639133215275,58,50.0,3.7070303444623,48.34771661694892,-13.04216910152153,6.896551724137931,47.97936371453139
SOL,Trail 25% + Reentry,36828.263916626114,153.01740775920746,-77.0045663936977,1.4894911591497448,41,48.78048780487805,5.632253701437127,74.95366018467735,-12.674222798754045,12.195121951219512,48.88220120378332
SOL,Daily + Weekly green,1361.272160639179,52.369076367687214,-77.11322874070056,1.0207571547123344,14,50.0,6.963120649348188,110.16144285714286,-15.820699999999999,0.0,20.24935511607911
BNB,Buy & Hold,455756.9936962249,,-83.38919402721258,,1,,,,,0.0,100.0
BNB,Baseline,86436.85707051647,113.19700213826627,-83.38919402721258,1.1792373634456987,42,42.857142857142854,9.317694502847631,153.53345,-12.358216666666666,4.761904761904762,61.11622201778596
BNB,Filtered,-36.22253118865479,-4.909951914132171,-77.60463873647444,0.11214672993649426,34,35.294117647058826,1.0825718368875998,22.757058333333333,-11.466159090909093,8.823529411764707,36.12388837779822
BNB,Hybrid,1021.8516645085846,31.076997373566194,-68.60861741721294,0.7287417467998779,28,46.42857142857143,5.5312908101550216,59.19974615384616,-9.275673333333335,14.285714285714285,35.66390677706225
BNB,Scaled 25%,12141.835404411004,71.28013710180254,-54.95515492722022,1.1168625188037278,41,39.02439024390244,8.416440657157123,77.2629161098578,-5.875199306283882,12.195121951219512,41.78251052372136
BNB,Trail 15% + Reentry,5202.425084666804,55.966842091569056,-82.837661090617,0.9423269204093955,93,48.38709677419355,2.185656324694483,31.318739519071016,-13.433639116723109,8.60215053763441,59.15363385464582
BNB,Trail 20% + Reentry,6894.559729422139,60.87801510289304,-81.4782695366515,0.9748364866416037,69,44.927536231884055,2.710030686851146,49.32979736417347,-14.849547506573401,7.246376811594203,59.79760809567617
BNB,Trail 25% + Reentry,18502.027748176315,79.492980928066,-83.64062865351579,1.099106571592912,53,45.28301886792453,4.130421551146712,83.21341749241805,-16.672941415950714,3.7735849056603774,60.68690585709905
BNB,Daily + Weekly green,6054.527223428038,58.590383923258614,-77.57676538811981,0.9735856361969025,27,37.03703703703704,10.154486408057869,202.67969,-11.74095294117647,7.4074074074074066,26.648267402637227
ZEC,Buy & Hold,57.48460098610193,,-99.03537146463583,,1,,,,,0.0,100.0
ZEC,Baseline,12305.485904527339,63.41929349347637,-78.14800452521477,0.9754442298528598,49,44.89795918367347,5.876103217268362,90.65964545454545,-12.571396296296294,6.122448979591836,47.69874476987448
ZEC,Filtered,22056.753408555902,73.36716098364361,-70.05967126272486,1.064627443850251,34,50.0,9.205138545806827,110.50135294117648,-12.004311764705882,2.941176470588235,35.03486750348675
ZEC,Hybrid,13645.891065327112,65.13652383063706,-79.05516376477631,1.0010718369497353,32,50.0,7.787035471887088,115.4560875,-14.82670625,0.0,36.206415620641565
ZEC,Scaled 25%,13486.141045424883,64.93996636217763,-81.19732821036385,1.0014573643623323,48,35.41666666666667,7.315212700605493,104.11585434581154,-7.80507600115831,10.416666666666668,37.653785474204646
ZEC,Trail 15% + Reentry,2972.9513002089043,41.76088141091048,-85.12847040255907,0.8150544858536088,141,40.42553191489361,1.7669046604690817,31.88346978952351,-12.244696687339761,4.964539007092199,44.407252440725244
ZEC,Trail 20% + Reentry,3577.2350565178976,44.377585162918656,-82.32192169767816,0.8368531809438406,96,40.625,2.148702554817375,39.01654632799396,-12.424023808344227,5.208333333333334,45.885634588563455
ZEC,Trail 25% + Reentry,2945.4586737474847,41.631142801793544,-80.16028562609799,0.8140065123135357,73,42.465753424657535,2.289313917327312,38.69519369773017,-12.475675786224675,8.21917808219178,46.80613668061367
ZEC,Daily + Weekly green,4.797004277382899,0.4785133104500128,-74.38968640900795,0.20593380650102444,13,53.84615384615385,1.3591603642537429,19.7506,-16.95338333333333,7.6923076923076925,8.396094839609484
