tf,asset,strategy,return_pct,cagr_pct,max_dd_pct,sharpe,trades,win_rate,profit_factor,avg_win,avg_loss,exposure_pct
1D,BTC,Buy & Hold,28426.471428571425,66.44206753136149,-83.8015349610509,,1,,,,,100.0
1D,BTC,Signal,40687.84768599259,71.89250404796547,-55.01752351707696,1.4125502749600327,75,46.666666666666664,3.9245394634660267,33.65635768685869,-7.503890137976259,50.296003946719296
1D,BTC,Signal (next-bar fill),26364.453052346125,65.32045083014746,-62.02080522894333,1.3249954387795015,75,45.33333333333333,3.6567457161306964,34.00421868302424,-7.7113976634738854,50.27133695115935
1W,BTC,Buy & Hold,33627.66541401004,65.759612705015,-83.5130726627136,,1,,,,,100.0
1W,BTC,Signal,8205.93975516104,46.77109682669236,-64.33530978556723,0.9870626125681774,13,76.92307692307693,14.778603973544486,90.03967581453837,-20.308565900568244,56.644518272425245
1W,BTC,Signal (next-bar fill),6737.426565527282,44.312723592105655,-63.4157705431225,0.9465821314511838,13,61.53846153846154,11.5217071102499,119.28635358729736,-16.56509438344299,56.47840531561462
1D,BTC,Daily AND Weekly green,5391.561633828391,43.47580203831569,-49.39558468645816,1.1591993986091005,49,51.02040816326531,4.0656692026444174,32.870667757439875,-8.421806400709901,30.51307350764677
1D,BTC,Daily OR Weekly green,47771.654621962494,74.39115871316892,-63.82213287681587,1.2502660627027715,39,48.717948717948715,8.387087578647472,79.50059332312934,-9.004980924397639,74.71632955106068
1D,BTC,Weekly state only,6345.305569779667,45.561387352767845,-68.49024184856414,0.9895741291335465,13,69.23076923076923,9.96366604746072,106.60264377122114,-24.07306179700551,54.93339911198816
1D,ETH,Buy & Hold,18003.374012921755,66.23782025381406,-94.01163042380341,,1,,,,,100.0
1D,ETH,Signal,128237.32199481572,101.32054392253376,-58.091674421649344,1.396710936893716,72,50.0,4.3942394535275175,46.59770935868893,-10.604271763406562,49.18383730264919
1D,ETH,Signal (next-bar fill),156822.63355821316,105.31759444182849,-60.00038550136389,1.4153627783895926,72,48.61111111111111,4.025031025565754,48.411847510390054,-11.37754978715224,49.157077869949156
1W,ETH,Buy & Hold,20891.492910758967,69.95890451850038,-93.86726817336283,,1,,,,,100.0
1W,ETH,Signal,10873.39197411729,59.36735997975673,-60.1700395153546,0.9493517129153164,12,50.0,19.307279412283872,371.7142731668686,-19.25254538608753,47.81783681214421
1W,ETH,Signal (next-bar fill),9951.908975900713,57.98674928345437,-83.42301988647714,0.9354692122781635,12,58.333333333333336,24.66130016645787,405.23885721295443,-23.005048244365256,47.6280834914611
