time,close,Up Trend,Down Trend,Macro Score Heatmap,Rate Hike,Rate Cut,ATR
1761696000,351.63,256.52307984745016,,1,0,0,44.07926058861847
1761782400,345.07,256.52307984745016,,1,0,1,45.90074197514572
1761868800,405.48,273.02523668791207,,1,0,0,47.819974691206745
1761955200,411.83,317.3602130191208,,1,0,0,48.45211935612055
1762041600,418.99,317.3602130191208,,1,0,0,49.63339654496908
1762128000,434.35,317.3602130191208,,1,0,0,50.71243964889986
1762214400,442.09,317.3602130191208,,1,0,0,55.1101225311213
1762300800,479.26,329.18271126184516,,1,0,0,57.56439949318406
1762387200,535.86,379.96594013566073,,1,0,0,59.22408524367092
1762473600,644.17,474.8383461220946,,1,0,0,70.567364869123
1762560000,601.5,474.8383461220946,,1,0,0,77.68969594989993
1762646400,615.31,474.8383461220946,,1,0,0,82.52328909633563
1762732800,522.18,474.8383461220946,,1,0,0,88.95519701802596
1762819200,442.76,,726.5182566092938,1,0,0,92.8576829453098
1762905600,505.49,,706.4209309483643,1,0,0,95.51570559207337
1762992000,519.2,,706.4209309483643,1,0,0,93.65458376406814
1763078400,608.8,,706.4209309483643,1,0,0,96.20997063806327
1763164800,670.54,,706.4209309483643,1,0,0,98.7385441639159
1763251200,698.99,,706.4209309483643,1,0,0,98.04293386649333
1763337600,609.74,,706.4209309483643,1,0,0,99.7291528760295
1763424000,624.79,,706.4209309483643,1,0,0,100.43635624202739
1763510400,674.02,,706.4209309483643,1,0,0,100.71447365331116
1763596800,655.68,,706.4209309483643,1,0,0,98.02629696378894
1763683200,550.69,,706.4209309483643,1,0,0,104.50084718066114
1763769600,517.84,,706.4209309483643,1,0,0,102.84792952489963
1763856000,572.81,,706.4209309483643,1,0,0,104.13807741597823
1763942400,519.79,,706.4209309483643,1,0,0,102.34035760055122
1764028800,511.49,,706.4209309483643,1,0,0,98.861046343369
1764115200,527.52,,706.2252005926701,1,0,0,94.91525731884262
1764201600,489.78,,702.069680533403,1,0,0,93.00631036749671
1764288000,452.1,,645.4252124800628,1,0,0,89.43014534124696
1764374400,460.77,,622.0186912320565,1,0,0,85.65870638830076
1764460800,427.71,,607.8673221088508,1,0,0,82.86737021770784
1764547200,343.79,,540.5875898979657,1,0,0,84.71255805930015
1764633600,313.76,,514.8588309081692,1,0,0,84.82737534077872
1764720000,338.96,,505.8059478173523,1,0,0,84.41899138786594
1764806400,367.55,,505.8059478173523,1,0,0,80.89334914587552
1764892800,360.17,,505.8059478173523,1,0,0,80.95310992117012
1764979200,342,,492.73036095884976,1,0,0,77.64931635537225
1765065600,342.97,,479.92432486296485,1,0,0,73.67865090141709
1765152000,405.39,,479.92432486296485,1,0,0,74.36589012274443
1765238400,432.8,,479.92432486296485,1,0,0,73.30404082826269
1765324800,404.5,,479.92432486296485,1,0,0,71.80589505481535
1765411200,450.91,,479.92432486296485,1,0,1,72.35190255089996
1765497600,455.12,,479.92432486296485,1,0,0,68.74605236869283
1765584000,443.3,,479.92432486296485,1,0,0,67.68419148521477
1765670400,404.15,,479.92432486296485,1,0,0,66.36032066484229
1765756800,413.6,,479.92432486296485,1,0,0,63.981726331639265
1765843200,404.48,,479.92432486296485,1,0,0,62.44660302223646
1765929600,376.49,,479.92432486296485,1,0,0,60.94970280636243
1766016000,388.2,,479.92432486296485,1,0,0,58.93329546305083
1766102400,443.75,,479.92432486296485,1,0,0,59.92734578711863
1766188800,446.86,,479.92432486296485,1,0,0,57.20039251661016
1766275200,441.04,,479.92432486296485,1,0,0,54.75536447970943
1766361600,431.36,,479.92432486296485,1,0,0,53.05355273115875
1766448000,416.95,,479.92432486296485,1,0,0,51.236870393218844
