time,close,Up Trend,Down Trend,Macro Score Heatmap,Rate Hike,Rate Cut,ATR
1761696000,1108.4,,1238.618381483141,1,0,0,71.02693590115516
1761782400,1079.5,,1225.951543334827,1,0,1,72.06786905107263
1761868800,1089.3,,1220.4863890013444,1,0,0,69.34159269028171
1761955200,1094.8,,1210.6727501012097,1,0,0,65.43147892669018
1762041600,1083.4,,1197.9154750910889,1,0,0,62.40065900335516
1762128000,993.1,,1152.40392758198,1,0,0,66.92204050311551
1762214400,936.5,,1080.898534823782,1,0,0,70.68475189575011
1762300800,959.5,,1072.8486813414038,1,0,0,70.43584104605368
1762387200,950,,1072.8486813414038,1,0,0,68.26185239990699
1762473600,990.7,,1072.8486813414038,1,0,0,68.37172008562791
1762560000,990.8,,1072.8486813414038,1,0,0,65.55945436522592
1762646400,996.8,,1072.8486813414038,1,0,0,63.0123504819955
1762732800,991.7,,1072.8486813414038,1,0,0,61.54718259042439
1762819200,958.1,,1072.8486813414038,1,0,0,60.86524097682265
1762905600,953.2,,1069.3941434946814,1,0,0,59.239152335621036
1762992000,926.9,,1051.3697291452131,1,0,0,59.65064145450525
1763078400,915.3,,1021.2927562306918,1,0,0,58.65416706489773
1763164800,932,,1021.2927562306918,1,0,0,56.56458370311932
1763251200,927.1,,1021.2927562306918,1,0,0,55.41711343861079
1763337600,907.3,,1017.6484692921742,1,0,0,54.83731962156717
1763424000,932.9,,1015.2486223629569,1,0,0,54.7632253628838
1763510400,897.3,,1013.1437601266612,1,0,0,55.76585212267781
1763596800,866.2,,995.6693841139951,1,0,0,55.36829125677226
1763683200,830.3,,946.0324457025955,1,0,0,57.4562704527171
1763769600,833.8,,934.759201132336,1,0,0,55.39510827752302
1763856000,843.7,,934.759201132336,1,0,0,53.06688625769994
1763942400,865.5,,934.759201132336,1,0,0,52.56210866786423
1764028800,862.7,,934.759201132336,1,0,0,51.021958048731065
1764115200,892,,934.759201132336,1,0,0,50.64896104525027
1764201600,895.6,,934.759201132336,1,0,0,48.44546382773239
1764288000,887.6,,934.759201132336,1,0,0,47.106502125751504
1764374400,873.5,,934.759201132336,1,0,0,45.17032340248354
1764460800,875.6,,934.759201132336,1,0,0,44.086728873734714
1764547200,827.1,,926.4899763188389,1,0,0,46.24481966846794
1764633600,876.9,,926.4899763188389,1,0,0,47.5201896921488
1764720000,920.8,,926.4899763188389,1,0,0,47.590176142709595
1764806400,900.2,,926.4899763188389,1,0,0,47.11230641823034
1764892800,883.9,,926.4899763188389,1,0,0,46.382855959785324
1764979200,890.8,,926.4899763188389,1,0,0,44.4626519626578
1765065600,894.6,,926.4899763188389,1,0,0,43.77960539389653
1765152000,897.4,,926.4899763188389,1,0,0,42.34534786576106
1765238400,897.7,,926.4899763188389,1,0,0,42.59925158963527
1765324800,893.7,,926.4899763188389,1,0,0,41.78501933323275
1765411200,886,,926.4899763188389,1,0,1,41.3003750951447
1765497600,881.8,,926.4899763188389,1,0,0,40.15034830263437
1765584000,896.9,,926.4899763188389,1,0,0,38.96818056673192
1765670400,877.4,,926.4899763188389,1,0,0,38.26331052625107
1765756800,858.8,,926.4899763188389,1,0,0,39.33021691723314
1765843200,875.6,,926.4899763188389,1,0,0,38.613772851716476
1765929600,843.2,,926.4899763188389,1,0,0,38.86993193373673
1766016000,830.2,,908.9042781029674,1,0,0,38.52207965275553
1766102400,856.2,,908.9042781029674,1,0,0,38.59193110613013
1766188800,854.2,,908.9042781029674,1,0,0,36.435364598549405
1766275200,858.7,,908.9042781029674,1,0,0,34.83998141293873
1766361600,858.4,,908.9042781029674,1,0,0,33.615697026300246
1766448000,843.9,,908.9042781029674,1,0,0,32.871718667278806
1766534400,846.3,,899.043197859319,1,0,0,31.566595905330324
1766620800,829.2,,892.5188780733872,1,0,0,30.776124769235302
1766707200,834.3,,888.4019902660484,1,0,0,30.39925871428992
1766793600,844.8,,888.4019902660484,1,0,0,29.05645452041207
1766880000,859.2,,888.4019902660484,1,0,0,28.952422054668354
1766966400,851.5,,888.4019902660484,1,0,0,28.720106193620616
1767052800,860.9,,888.4019902660484,1,0,0,27.811527179790573
1767139200,863.4,,888.4019902660484,1,0,0,27.21784666694839
1767225600,863.7,,888.4019902660484,1,0,0,26.538000476452073
1767312000,881,,888.4019902660484,1,0,0,26.99957187099121
1767398400,878.4,,888.4019902660484,1,0,0,26.121031023063264
1767484800,895,842.7464496022043,,1,0,0,26.00524309284446
1767571200,909.9,856.0268046419839,,1,0,0,25.90486858621271
1767657600,917.2,857.7441241777855,,1,0,0,26.23309225862609
1767744000,899.4,857.7441241777855,,1,0,0,26.273585668724223
1767830400,891.7,857.7441241777855,,1,0,0,26.518329549529636
1767916800,895.8,857.7441241777855,,1,0,0,25.74559172456323
1768003200,906.9,857.7441241777855,,1,0,0,25.249478029951575
1768089600,903.1,860.6481643857405,,1,0,0,24.745943884955036
1768176000,905,860.6481643857405,,1,0,0,24.11409075031539
1768262400,942.8,878.3130131524499,,1,0,0,26.491655696721434
1768348800,948.2,888.6917118372048,,1,0,0,26.477966004098473
1768435200,930.8,888.6917118372048,,1,0,0,26.32953986094859
1768521600,937.5,888.6917118372048,,1,0,0,25.527429870880827
1768608000,946.8,897.7616079293223,,1,0,0,25.396899165817906
1768694400,932.2,897.7616079293223,,1,0,0,25.111406368259484
1768780800,922.9,897.7616079293223,,1,0,0,25.432020199098094
