time,close,Up Trend,Down Trend,Macro Score Heatmap,Rate Hike,Rate Cut,ATR
1606694400,19375.6,15636.646122054412,,1,0,0,1557.5197538417376
1607299200,19166.65,15636.646122054412,,1,0,0,1578.5947714244705
1607904000,23476.51,17499.820058864076,,1,0,0,1846.7180020370083
1608508800,26258.65,20135.170052977664,,1,0,0,2177.1781447486505
1609113600,33080.66,24012.8860476799,,1,0,0,2662.82756298089
1609718400,38171.57,26292.429942911906,,1,0,0,3494.6520227679694
1610323200,35820,26292.429942911906,,1,0,0,3961.2954497131145
1610928000,32288.56,26292.429942911906,,1,0,0,4330.131489019321
1611532800,33137.74,26292.429942911906,,1,0,0,4693.274239803654
1612137600,38871.42,26292.429942911906,,1,0,0,4977.111794103394
1612742400,48680.69,30775.863431140056,,1,0,0,5453.245951667436
1613347200,57489.16,37755.64458802604,,1,0,0,5963.6240979769045
1613952000,45231.75,37755.64458802604,,1,0,0,6577.771662407125
1614556800,50978.61,37755.64458802604,,1,0,0,6652.492972235187
1615161600,58972.7,38901.76835467098,,1,0,0,7067.302759932674
1615766400,57363.32,40443.93101920388,,1,0,0,7089.643277080341
1616371200,55778.82,40443.93101920388,,1,0,0,7163.003043003175
1616976000,58215.94,41647.149375555135,,1,0,0,7019.575682788661
1617580800,59985.26,42898.36643799963,,1,0,0,6933.818134018043
1618185600,56274.41,42898.36643799963,,1,0,0,7409.902553016755
1618790400,49121,42898.36643799963,,1,0,0,7634.623084944128
1619395200,56625.2,42898.36643799963,,1,0,0,7784.462864590975
1620000000,58312.57,42898.36643799963,,1,0,0,7703.2026599773335
1620604800,46450.79,42898.36643799963,,1,0,0,8279.202469978953
1621209600,34758.67,,58167.43881350802,1,0,0,8876.84157926617
1621814400,35669.44,,56489.827432157224,1,0,0,8783.281466461445
1622419200,35800.48,,55333.768688941505,1,0,0,8534.962790285628
1623024000,39015.24,,53526.307820047354,1,0,0,8524.683305265225
1623628800,35585.78,,53526.307820047354,1,0,0,8485.455926317709
1624233600,34709.23,,49938.59258423836,1,0,0,8375.176217295015
1624838400,35284.05,,49938.59258423836,1,0,0,8060.629344631086
1625443200,34259.23,,49362.68389323307,1,0,0,7712.0001057288655
1626048000,31788.25,,47672.22250390976,1,0,0,7421.470098176804
1626652800,35428.26,,46948.25725351879,1,0,0,7330.613662592746
