System,Total Return (%),CAGR (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Num Trades,Win Rate (%),Avg Win (%),Avg Loss (%),Profit Factor,Avg Duration (days),Exposure (%),Chop Ratio (%),True Trend Recall (%),True Trend Precision (%)
baseline,274.46,5.02,49.08,0.433,0.508,58,53.4,9.79,-5.1,2.2,137.2,80.8,1.7,100.0,17.2
filtered,83.75,2.28,32.49,0.324,0.254,25,56.0,9.06,-4.89,2.36,147.7,37.5,0.0,20.0,8.0
hybrid,142.64,3.34,28.18,0.395,0.368,32,43.8,12.79,-4.01,2.48,165.1,53.7,0.0,20.0,6.2
