entry_time,entry_price,exit_time,exit_price,duration_days,gross_pnl_pct,net_pnl_pct,pnl_cash,mfe,mae,fees_paid
2021-01-07 00:00:00+00:00,4.294030503382935,2021-03-02 00:00:00+00:00,23.844143417045196,54,455.2858,454.1758,45417.58,1192.8377,-0.05,65.4731
2021-04-16 00:00:00+00:00,38.535639784972574,2021-04-25 00:00:00+00:00,23.524353284467505,9,-38.9543,-39.0763,-21655.15,-0.05,-38.9238,89.2138
2021-08-02 00:00:00+00:00,13.517715603232773,2021-10-15 00:00:00+00:00,55.18658709110576,74,308.2538,307.4377,103798.43,464.8504,-6.5418,171.461
2021-11-05 00:00:00+00:00,75.0677379790832,2021-12-08 00:00:00+00:00,92.86123736028235,33,23.7033,23.456,32266.24,79.1312,-0.6512,307.558
2022-03-31 00:00:00+00:00,92.79144005529317,2022-04-17 00:00:00+00:00,77.37913974188373,17,-16.6096,-16.7763,-28490.72,5.1806,-20.1513,311.305
2022-07-20 00:00:00+00:00,23.970344925659294,2022-08-28 00:00:00+00:00,20.61437143521612,39,-14.0005,-14.1724,-20030.81,22.5928,-13.9575,262.7634
2022-11-02 00:00:00+00:00,19.307256939458984,2022-11-11 00:00:00+00:00,12.823380883069085,9,-33.5826,-33.7154,-40898.6,1.497,-33.5494,201.793
2023-01-13 00:00:00+00:00,15.929725652342958,2023-03-05 00:00:00+00:00,16.66279263041644,51,4.6019,4.3928,3532.1,34.5213,-3.2275,164.4301
2023-04-02 00:00:00+00:00,17.729670479171666,2023-04-30 00:00:00+00:00,17.554186838938598,28,-0.9898,-1.1877,-996.94,19.6458,-4.7909,166.9642
2023-07-10 00:00:00+00:00,13.661659014750533,2023-08-03 00:00:00+00:00,12.836064233298075,24,-6.0432,-6.231,-5168.1,8.5348,-6.0931,160.794
2023-10-07 00:00:00+00:00,10.143796803728737,2023-10-20 00:00:00+00:00,8.906911640242207,13,-12.1935,-12.369,-9619.9,5.0349,-12.1496,145.9964
2024-05-23 00:00:00+00:00,41.18025657098563,2024-06-09 00:00:00+00:00,33.49315481318547,17,-18.667,-18.8295,-12833.11,-0.05,-18.6263,123.5305
2024-07-23 00:00:00+00:00,32.62671436365441,2024-08-03 00:00:00+00:00,25.69540372741931,11,-21.2443,-21.4017,-11839.65,-0.05,-21.2049,98.8459
2024-09-21 00:00:00+00:00,26.655848928637404,2024-10-12 00:00:00+00:00,25.838230711945645,21,-3.0673,-3.2611,-1417.96,14.2573,-7.562,85.5869
2024-11-11 00:00:00+00:00,30.12768758955673,2024-12-25 00:00:00+00:00,38.988574633805754,44,29.4111,29.1524,12262.5,79.8389,-0.05,96.4437
2025-05-11 00:00:00+00:00,23.25093724539987,2025-06-03 00:00:00+00:00,20.871795434017574,23,-10.2325,-10.4119,-5656.36,11.4185,-11.3375,103.0442
2025-07-13 00:00:00+00:00,20.692011335541665,2025-10-10 00:00:00+00:00,28.797710512219275,89,39.1731,38.8949,18929.96,70.5058,-0.1354,116.3367
2026-01-06 00:00:00+00:00,14.236783892744903,2026-01-06 00:00:00+00:00,14.459131469310716,0,1.5618,1.3588,918.52,1.6126,-0.05,0.0
