entry_time,entry_price,exit_time,exit_price,duration_days,gross_pnl_pct,net_pnl_pct,pnl_cash,mfe,mae,fees_paid
1999-06-18 00:00:00+00:00,45.89660951220786,1999-08-06 00:00:00+00:00,46.87960391702035,49,2.1418,1.9376,193.76,13.5796,-1.0851,20.204
1999-08-25 00:00:00+00:00,51.204575724601746,2000-04-06 00:00:00+00:00,86.42522332350568,225,68.7842,68.4468,6977.3,98.766,-5.2949,27.382
2002-01-07 00:00:00+00:00,35.58493105850603,2002-01-24 00:00:00+00:00,32.87323411560059,17,-7.6204,-7.805,-1340.2,1.113,-11.3955,33.0178
2002-03-12 00:00:00+00:00,31.748411092326258,2002-04-05 00:00:00+00:00,29.55552303415442,24,-6.9071,-7.0932,-1122.91,1.094,-8.8026,30.5535
2003-01-16 00:00:00+00:00,22.638815260388306,2003-01-31 00:00:00+00:00,20.31151047621076,15,-10.2802,-10.4595,-1538.38,0.6589,-9.1906,27.8907
2003-03-06 00:00:00+00:00,20.644504093698487,2004-03-05 00:00:00+00:00,30.757880618938753,365,48.9882,48.6904,6412.31,59.6224,-3.6912,32.771
2004-06-04 00:00:00+00:00,30.72101773644071,2004-07-19 00:00:00+00:00,29.372828098572352,45,-4.3885,-4.5796,-896.78,4.2407,-4.7807,38.2857
2005-03-10 00:00:00+00:00,32.09914450580486,2005-03-30 00:00:00+00:00,30.890457003531417,20,-3.7655,-3.9579,-739.53,0.5081,-4.488,36.6486
2005-07-14 00:00:00+00:00,33.034341451005794,2005-10-20 00:00:00+00:00,33.03545172593222,98,0.0034,-0.1965,-35.27,3.7495,-3.5134,35.8738
2006-01-09 00:00:00+00:00,36.54790825692263,2006-02-16 00:00:00+00:00,35.33936756604641,38,-3.3067,-3.5,-626.86,1.4253,-5.7173,35.211
2006-03-24 00:00:00+00:00,35.33099702377288,2006-05-16 00:00:00+00:00,34.38825119739349,53,-2.6683,-2.8629,-494.81,4.3621,-3.5409,34.0889
2007-01-12 00:00:00+00:00,38.67397404362878,2007-03-13 00:00:00+00:00,36.90181835796772,60,-4.5823,-4.773,-801.33,1.1268,-6.6215,32.7919
2008-03-27 00:00:00+00:00,38.31932495071681,2008-06-26 00:00:00+00:00,40.2472596791123,91,5.0312,4.8213,770.79,13.827,-2.5465,32.7622
2008-08-08 00:00:00+00:00,39.89924947175038,2008-09-08 00:00:00+00:00,37.94569302194275,31,-4.8962,-5.0863,-852.37,4.9864,-7.4641,32.6797
2009-07-17 00:00:00+00:00,32.39005560674978,2010-02-05 00:00:00+00:00,37.116196502917326,203,14.5913,14.3623,2284.42,25.1396,-0.5317,34.1141
2011-04-04 00:00:00+00:00,50.636706323977684,2011-06-15 00:00:00+00:00,48.119118148765516,72,-4.9719,-5.1618,-938.94,2.9336,-5.5488,35.4586
2012-06-20 00:00:00+00:00,57.25494886990636,2012-10-22 00:00:00+00:00,58.49238949204074,124,2.1613,1.9571,337.62,9.8258,-4.4591,34.8576
2013-07-10 00:00:00+00:00,65.84591030974653,2014-04-21 00:00:00+00:00,78.82005366043056,285,19.7038,19.4645,3423.58,26.3501,-0.1047,38.6222
2015-06-19 00:00:00+00:00,102.25590496374535,2015-08-24 00:00:00+00:00,87.12046474697449,66,-14.8015,-14.9718,-3145.94,3.478,-7.3682,38.8967
2015-09-09 00:00:00+00:00,98.3596089626996,2016-01-11 00:00:00+00:00,97.37887410862122,124,-0.9971,-1.195,-213.5,9.1209,-6.9055,35.5371
2016-06-03 00:00:00+00:00,103.01072117681535,2016-06-29 00:00:00+00:00,98.42335406267863,26,-4.4533,-4.6443,-819.85,0.2942,-7.6107,34.5029
2016-07-12 00:00:00+00:00,104.44549164903835,2018-02-16 00:00:00+00:00,156.6632051178527,584,49.9952,49.6953,8365.26,55.3312,-0.4082,42.0567
2019-09-09 00:00:00+00:00,184.7694647243172,2020-03-02 00:00:00+00:00,201.4547091172058,175,9.0303,8.8124,2220.57,24.0156,-5.2523,52.6447
2021-03-01 00:00:00+00:00,309.98344080646507,2021-03-05 00:00:00+00:00,297.5784541396777,4,-4.0018,-4.1937,-1149.87,1.5341,-6.0482,53.7143
2021-04-05 00:00:00+00:00,318.0160472994921,2021-10-05 00:00:00+00:00,344.29153320242176,183,8.2623,8.0459,2113.58,17.0887,-3.4506,54.6801
2021-10-21 00:00:00+00:00,364.56139930972466,2022-01-20 00:00:00+00:00,360.4031230815166,91,-1.1406,-1.3382,-379.83,9.1794,-2.0487,56.4135
2023-01-24 00:00:00+00:00,282.3626428696703,2023-08-21 00:00:00+00:00,354.10591917564994,209,25.4082,25.1575,7044.81,35.3657,-2.1825,63.0855
2023-09-06 00:00:00+00:00,371.8668960735166,2023-10-04 00:00:00+00:00,350.82204358419244,28,-5.6592,-5.8478,-2049.53,0.2123,-6.782,68.0787
2023-10-20 00:00:00+00:00,354.8154342386283,2023-10-30 00:00:00+00:00,342.9925172870612,10,-3.3321,-3.5254,-1163.31,0.1113,-4.8075,64.8647
2023-11-09 00:00:00+00:00,368.812175187576,2024-04-23 00:00:00+00:00,416.5155729618448,166,12.9343,12.7086,4045.75,20.6628,-1.1387,67.7512
2024-05-09 00:00:00+00:00,436.31388576230756,2024-07-31 00:00:00+00:00,463.8754366215003,83,6.3169,6.1044,2190.28,14.4751,-0.4744,73.9895
