entry_time,entry_price,exit_time,exit_price,duration_days,gross_pnl_pct,net_pnl_pct,pnl_cash,mfe,mae,fees_paid
1999-03-30 00:00:00+00:00,45.26282259755739,1999-05-27 00:00:00+00:00,43.08071389592116,58,-4.821,-5.0112,-501.12,6.8894,-8.8553,19.5084
1999-06-18 00:00:00+00:00,45.89660951220786,1999-08-06 00:00:00+00:00,46.87960391702035,49,2.1418,1.9376,184.05,13.5796,-1.0851,19.1915
1999-08-25 00:00:00+00:00,51.204575724601746,2000-04-06 00:00:00+00:00,86.42522332350568,225,68.7842,68.4468,6627.65,98.766,-5.2949,26.0098
2000-06-09 00:00:00+00:00,80.06820200085448,2000-08-01 00:00:00+00:00,75.81993667361824,53,-5.3058,-5.4951,-896.28,7.6639,-9.5769,31.7403
2000-08-24 00:00:00+00:00,82.33927535641851,2000-09-21 00:00:00+00:00,79.14397855497833,28,-3.8806,-4.0728,-627.79,6.1849,-9.7309,30.2156
2001-01-25 00:00:00+00:00,56.51253209053084,2001-02-15 00:00:00+00:00,49.63911163696322,21,-12.1626,-12.3382,-1824.39,1.6165,-19.1134,27.7616
2001-04-20 00:00:00+00:00,40.714354181397624,2001-06-15 00:00:00+00:00,35.28767363977768,56,-13.3287,-13.5019,-1750.13,7.771,-12.8704,24.1853
2001-10-18 00:00:00+00:00,27.63304503937277,2002-01-24 00:00:00+00:00,32.87323411560059,98,18.9635,18.7257,2099.52,32.1663,-2.1896,24.5368
2002-03-12 00:00:00+00:00,31.748411092326258,2002-04-05 00:00:00+00:00,29.55552303415442,24,-6.9071,-7.0932,-944.21,1.094,-8.8026,25.6912
2002-05-29 00:00:00+00:00,25.90914978708165,2002-06-04 00:00:00+00:00,24.270822208500167,6,-6.3234,-6.5106,-805.19,1.1888,-6.1461,23.941
2002-08-21 00:00:00+00:00,21.455747241253622,2002-09-11 00:00:00+00:00,20.362160369339115,21,-5.0969,-5.2867,-611.25,3.178,-13.6706,22.5239
2002-10-23 00:00:00+00:00,20.154374529176188,2002-12-20 00:00:00+00:00,21.38365739420139,58,6.0993,5.8872,644.7,20.6524,-2.0615,22.558
2003-01-16 00:00:00+00:00,22.638815260388306,2003-01-31 00:00:00+00:00,20.31151047621076,15,-10.2802,-10.4595,-1212.84,0.6589,-9.1906,21.9887
2003-03-06 00:00:00+00:00,20.644504093698487,2004-03-05 00:00:00+00:00,30.757880618938753,365,48.9882,48.6904,5055.39,59.6224,-3.6912,25.8363
2004-04-07 00:00:00+00:00,31.27051472042053,2004-05-13 00:00:00+00:00,29.60930357028243,36,-5.3124,-5.5017,-849.35,1.0309,-7.3997,30.0415
2004-06-04 00:00:00+00:00,30.72101773644071,2004-07-19 00:00:00+00:00,29.372828098572352,45,-4.3885,-4.5796,-668.11,4.2407,-4.7807,28.5233
2004-09-01 00:00:00+00:00,28.683650097840946,2005-01-20 00:00:00+00:00,32.10119024178293,141,11.9146,11.6909,1627.44,19.834,-0.4329,29.4843
2005-03-10 00:00:00+00:00,32.09914450580486,2005-03-30 00:00:00+00:00,30.890457003531417,20,-3.7655,-3.9579,-615.37,0.5081,-4.488,30.4957
2005-05-17 00:00:00+00:00,31.023774593857198,2005-10-20 00:00:00+00:00,33.03545172593222,156,6.4843,6.2714,936.5,10.4733,-0.4349,30.8178
2005-11-03 00:00:00+00:00,33.94839312829321,2006-02-16 00:00:00+00:00,35.33936756604641,105,4.0973,3.8892,617.19,9.1917,-0.2009,32.3721
2006-03-24 00:00:00+00:00,35.33099702377288,2006-05-16 00:00:00+00:00,34.38825119739349,53,-2.6683,-2.8629,-471.99,4.3621,-3.5409,32.5168
2006-08-17 00:00:00+00:00,32.979495172209006,2007-03-13 00:00:00+00:00,36.90181835796772,208,11.8932,11.6695,1868.81,18.588,-1.4534,33.9155
2007-04-02 00:00:00+00:00,37.537918029689315,2007-08-16 00:00:00+00:00,39.12820124461362,136,4.2365,4.0281,720.35,16.0391,-0.8968,36.5054
2007-09-04 00:00:00+00:00,42.092194342602866,2007-11-14 00:00:00+00:00,44.18720419276079,71,4.9772,4.7673,886.9,12.5508,-2.3378,38.1136
2007-12-12 00:00:00+00:00,44.971610205136855,2008-01-09 00:00:00+00:00,40.54930366207248,28,-9.8336,-10.0138,-1951.74,0.7819,-10.1523,37.0468
2008-03-27 00:00:00+00:00,38.31932495071681,2008-06-26 00:00:00+00:00,40.2472596791123,91,5.0312,4.8213,845.59,13.827,-2.5465,35.9415
2008-08-08 00:00:00+00:00,39.89924947175038,2008-09-08 00:00:00+00:00,37.94569302194275,31,-4.8962,-5.0863,-935.09,4.9864,-7.4641,35.851
2008-12-19 00:00:00+00:00,25.88071061418535,2009-01-27 00:00:00+00:00,25.155138071920227,39,-2.8035,-2.9978,-523.1,5.6271,-6.6287,34.3923
2009-02-06 00:00:00+00:00,26.529233044125363,2009-02-26 00:00:00+00:00,24.861422586062556,20,-6.2867,-6.474,-1095.8,3.2079,-9.6605,32.7723
2009-03-24 00:00:00+00:00,26.538468589276448,2010-02-05 00:00:00+00:00,37.116196502917326,318,39.8581,39.5785,6265.41,52.7322,-3.3773,37.9482
2010-03-02 00:00:00+00:00,39.62269704033927,2010-05-07 00:00:00+00:00,40.19055672870267,66,1.4332,1.2304,271.87,11.2107,-6.3766,44.4858
2010-06-23 00:00:00+00:00,40.3680659047455,2010-07-06 00:00:00+00:00,37.622415814595115,13,-6.8015,-6.9878,-1563.01,0.3387,-9.6323,43.1931
2010-07-22 00:00:00+00:00,39.55617830048266,2010-08-26 00:00:00+00:00,38.60009058706856,35,-2.417,-2.6121,-543.44,4.1891,-4.4657,41.0861
