entry_time,entry_price,exit_time,exit_price,duration_days,gross_pnl_pct,net_pnl_pct,pnl_cash,mfe,mae,fees_paid
1999-06-21 00:00:00+00:00,46.847302447356725,1999-08-06 00:00:00+00:00,46.87960391702035,46,0.069,-0.1311,-13.11,11.2747,-3.0924,19.9969
1999-08-25 00:00:00+00:00,51.204575724601746,2000-04-06 00:00:00+00:00,86.42522332350568,225,68.7842,68.4468,6835.71,98.766,-5.2949,26.8263
2000-07-17 00:00:00+00:00,85.29695171679559,2000-08-01 00:00:00+00:00,75.81993667361824,15,-11.1106,-11.2883,-1898.99,1.064,-15.1199,31.7611
2001-05-22 00:00:00+00:00,43.35935885003896,2001-06-15 00:00:00+00:00,35.28767363977768,24,-18.6158,-18.7785,-2802.43,1.1967,-18.1855,27.0569
2001-12-06 00:00:00+00:00,36.08350975912145,2002-01-24 00:00:00+00:00,32.87323411560059,49,-8.8968,-9.0789,-1100.47,1.214,-12.6198,23.1529
2002-11-22 00:00:00+00:00,23.128947044039826,2002-12-20 00:00:00+00:00,21.38365739420139,28,-7.5459,-7.7307,-851.98,5.1356,-9.3986,21.1996
2003-03-17 00:00:00+00:00,21.489552006124608,2004-03-05 00:00:00+00:00,30.757880618938753,354,43.1295,42.8433,4356.63,53.3454,-0.9147,24.7086
2004-06-08 00:00:00+00:00,31.194432712758044,2004-07-19 00:00:00+00:00,29.372828098572352,41,-5.8395,-6.0277,-875.55,2.6587,-6.2258,28.1888
2004-10-04 00:00:00+00:00,30.737932955741673,2005-01-20 00:00:00+00:00,32.10119024178293,108,4.4351,4.2263,576.89,11.8253,-3.2387,27.8907
2005-07-15 00:00:00+00:00,33.17102237771805,2005-10-20 00:00:00+00:00,33.03545172593222,97,-0.4087,-0.6078,-86.47,3.322,-3.911,28.3811
2006-01-09 00:00:00+00:00,36.54790825692263,2006-02-16 00:00:00+00:00,35.33936756604641,38,-3.3067,-3.5,-494.91,1.4253,-5.7173,27.7992
2006-04-06 00:00:00+00:00,36.496409829895576,2006-05-16 00:00:00+00:00,34.38825119739349,40,-5.7763,-5.9647,-813.9,1.0295,-6.621,26.4896
2006-11-14 00:00:00+00:00,37.32276909200393,2007-03-13 00:00:00+00:00,36.90181835796772,119,-1.1279,-1.3255,-170.08,4.7879,-3.2409,25.5054
2007-05-22 00:00:00+00:00,40.434712879110066,2007-08-16 00:00:00+00:00,39.12820124461362,86,-3.2312,-3.4246,-433.6,7.7259,-2.5874,24.9013
2008-04-02 00:00:00+00:00,39.405798829183546,2008-06-26 00:00:00+00:00,40.2472596791123,85,2.1354,1.9312,236.14,10.6886,-4.4679,24.7041
2008-08-11 00:00:00+00:00,40.81388079680719,2008-09-08 00:00:00+00:00,37.94569302194275,28,-7.0275,-7.2133,-899.06,2.6337,-9.5378,24.0403
