entry_time,entry_price,exit_time,exit_price,duration_days,gross_pnl_pct,net_pnl_pct,pnl_cash,mfe,mae,fees_paid
1999-07-01 00:00:00+00:00,85.89174166696698,1999-08-06 00:00:00+00:00,82.18500462295317,36,-4.3156,-4.5069,-450.69,3.7803,-6.0005,19.5589
1999-12-06 00:00:00+00:00,90.23993764907125,2000-02-24 00:00:00+00:00,86.06200358608626,80,-4.6298,-4.8205,-460.32,3.4894,-6.7854,18.6474
2000-07-17 00:00:00+00:00,95.62529238642169,2000-09-29 00:00:00+00:00,92.27113001420457,74,-3.5076,-3.7005,-336.34,1.6774,-6.3182,17.8504
2001-01-31 00:00:00+00:00,87.5078800246568,2001-02-22 00:00:00+00:00,80.389888245827,22,-8.1341,-8.3178,-728.02,0.8957,-8.7065,16.7853
2001-05-17 00:00:00+00:00,82.37927648410191,2001-06-21 00:00:00+00:00,78.19333170449715,35,-5.0813,-5.2711,-422.98,2.3442,-6.448,15.6339
2001-11-07 00:00:00+00:00,71.84779027327697,2002-01-31 00:00:00+00:00,72.26774188852669,85,0.5845,0.3834,29.15,5.8752,-2.7301,15.2401
2003-03-20 00:00:00+00:00,57.223486225360666,2004-03-24 00:00:00+00:00,73.15640692385476,370,27.8433,27.5878,2105.17,36.0563,-3.014,17.3765
2004-06-24 00:00:00+00:00,76.83701674829994,2004-08-09 00:00:00+00:00,71.70809365086451,46,-6.6751,-6.8616,-668.05,0.2816,-6.9773,18.813
2004-08-30 00:00:00+00:00,74.59685079413066,2005-04-19 00:00:00+00:00,78.34602451818947,232,5.0259,4.816,436.71,12.0786,-1.3214,18.5821
2005-06-17 00:00:00+00:00,83.14661783563126,2005-10-19 00:00:00+00:00,80.64427770181081,124,-3.0096,-3.2034,-304.47,2.5816,-3.473,18.714
2006-01-09 00:00:00+00:00,88.69492941985025,2006-06-01 00:00:00+00:00,88.23821954163958,143,-0.5149,-0.7138,-65.67,3.7701,-2.5124,18.3438
2006-09-14 00:00:00+00:00,91.90676630390469,2007-03-14 00:00:00+00:00,97.27914894430492,181,5.8455,5.6339,514.63,12.0107,-0.3407,18.7932
2007-06-04 00:00:00+00:00,108.43381751218746,2007-08-08 00:00:00+00:00,105.15740481833473,65,-3.0216,-3.2154,-310.26,1.6818,-6.8173,18.9973
2008-05-16 00:00:00+00:00,102.8538584119281,2008-06-20 00:00:00+00:00,96.02214655252969,35,-6.6422,-6.8288,-637.73,0.9576,-6.5986,18.0487
2009-06-02 00:00:00+00:00,69.7531617280232,2010-02-05 00:00:00+00:00,79.90866061125787,248,14.5592,14.3302,1246.89,23.8452,-7.3647,18.6591
2010-03-02 00:00:00+00:00,84.34984913974186,2010-05-07 00:00:00+00:00,84.81586029613244,66,0.5525,0.3515,34.96,9.0697,-6.2208,19.941
2010-10-11 00:00:00+00:00,88.86776166675907,2011-06-15 00:00:00+00:00,98.4801107768294,247,10.8165,10.5949,1057.69,18.6011,-0.9663,21.0347
2012-02-17 00:00:00+00:00,106.68179423062571,2012-05-18 00:00:00+00:00,103.00423370449987,91,-3.4472,-3.6402,-401.91,4.5721,-3.8255,21.6901
2012-06-20 00:00:00+00:00,107.06545147635352,2012-11-09 00:00:00+00:00,109.04278430487464,142,1.8468,1.6433,174.82,9.0826,-3.6293,21.4631
2012-12-19 00:00:00+00:00,115.42563125601939,2014-02-10 00:00:00+00:00,146.29018921577483,418,26.7398,26.4864,2864.13,30.5008,-3.4842,24.505
2014-05-13 00:00:00+00:00,155.54607809158404,2014-10-14 00:00:00+00:00,155.52785372593988,154,-0.0117,-0.2116,-28.94,7.1953,-1.9223,27.3401
2015-05-19 00:00:00+00:00,177.95436306836237,2015-08-25 00:00:00+00:00,163.72103091151695,98,-7.9983,-8.1822,-1116.77,0.408,-14.0894,26.1933
2016-04-14 00:00:00+00:00,177.34548818470486,2018-02-13 00:00:00+00:00,232.85541808104674,670,31.3004,31.038,3889.68,42.643,-4.0788,28.9701
2018-08-07 00:00:00+00:00,254.14801358089414,2018-10-15 00:00:00+00:00,246.249504746292,69,-3.1078,-3.3015,-542.17,3.1571,-4.8853,32.3171
2019-03-18 00:00:00+00:00,254.44995114721021,2019-06-04 00:00:00+00:00,250.1959670990083,78,-1.6718,-1.8684,-296.69,4.707,-3.0533,31.4779
2019-07-29 00:00:00+00:00,274.1500533544342,2020-02-28 00:00:00+00:00,264.4218595943705,214,-3.5485,-3.7413,-583.0,13.3396,-6.7248,30.5976
2020-12-09 00:00:00+00:00,344.91055826619555,2022-01-25 00:00:00+00:00,409.43503255249726,412,18.7076,18.4703,2770.51,31.6348,-2.1035,32.7879
2023-01-24 00:00:00+00:00,383.6212626968329,2023-03-14 00:00:00+00:00,375.18643402925665,49,-2.1987,-2.3942,-425.46,4.8187,-4.618,35.1325
2023-04-03 00:00:00+00:00,394.7105316653751,2023-10-04 00:00:00+00:00,410.01940154755056,184,3.8785,3.6709,636.7,12.7348,-1.2992,35.3444
2023-11-13 00:00:00+00:00,427.11633993836915,2024-08-06 00:00:00+00:00,509.65306380250564,267,19.3242,19.0856,3431.9,29.9468,-0.2343,39.4164
2024-10-10 00:00:00+00:00,567.4618124730932,2025-03-10 00:00:00+00:00,560.7216313634917,151,-1.1878,-1.3853,-296.64,6.8111,-1.4797,42.5514
2025-06-11 00:00:00+00:00,599.2731615450856,2025-12-26 00:00:00+00:00,689.9648425598145,198,15.1336,14.9035,3147.14,15.4165,-1.7953,0.0
