System,Total Return (%),CAGR (%),Max Drawdown (%),Sharpe Ratio,Sortino Ratio,Num Trades,Win Rate (%),Avg Win (%),Avg Loss (%),Profit Factor,Avg Duration (days),Exposure (%),Chop Ratio (%),True Trend Recall (%),True Trend Precision (%)
baseline,268.76,5.23,45.74,0.387,0.48,68,47.1,11.64,-5.47,1.89,100.3,72.9,2.9,100.0,17.6
filtered,63.93,1.95,37.04,0.233,0.209,34,47.1,10.02,-4.96,1.8,101.8,37.0,5.9,25.0,8.8
hybrid,72.44,2.15,32.67,0.24,0.237,39,43.6,10.13,-4.42,1.77,109.1,45.6,0.0,16.7,5.1
