time,close,Up Trend,Down Trend,Macro Score Heatmap,Rate Hike,Rate Cut,ATR
1279027800,1095.34,1051.141657943351,,1,0,0,20.227031876198176
1279114200,1095.17,1056.0779921490162,,1,0,0,19.596529599326868
1279200600,1096.48,1056.0779921490162,,1,0,0,19.491777485089244
1279287000,1064.88,1056.0779921490162,,1,0,0,20.46807909329716
1279546200,1071.25,1056.0779921490162,,1,0,0,19.97678772949023
1279632600,1083.48,1056.0779921490162,,1,0,0,20.48273146309807
1279719000,1069.59,1056.0779921490162,,1,0,0,20.713250644305354
1279805400,1093.67,1056.0779921490162,,1,0,0,21.22730416971212
1279891800,1102.66,1056.0779921490162,,1,0,0,20.843211014732677
1280151000,1115.01,1068.1097844615888,,1,0,0,20.333695942251776
1280237400,1113.84,1077.0903060154299,,1,0,0,19.67914623209094
1280323800,1106.13,1077.0903060154299,,1,0,0,19.09849292979874
1280410200,1101.53,1077.0903060154299,,1,0,0,19.382886291955987
1280496600,1101.6,1077.0903060154299,,1,0,0,19.314822985387707
1280755800,1125.86,1078.4226232767235,,1,0,0,19.77090705786002
1280842200,1120.46,1084.1868609490512,,1,0,0,19.008699410870012
1280928600,1127.24,1089.0251748541461,,1,0,0,18.314506595807867
1281015000,1125.81,1089.4271573687313,,1,0,0,17.60847041039302
1281101400,1121.64,1089.4271573687313,,1,0,0,17.68215109536494
1281360600,1127.79,1093.1149474686724,,1,0,0,17.014140302838868
1281447000,1121.06,1093.1149474686724,,1,0,0,16.95670170977895
1281533400,1089.47,,1138.0274425503753,1,0,0,18.067651587651884
1281619800,1083.61,,1116.0376982953376,1,0,0,17.68996218853389
1281706200,1079.25,,1114.974428465804,1,0,0,16.94425060363861
1281965400,1079.38,,1107.7954856192234,1,0,0,16.671804131950132
1282051800,1092.54,,1107.7954856192234,1,0,0,16.963818122525122
1282138200,1094.16,,1107.7954856192234,1,0,0,16.75283111377333
1282224600,1075.63,,1107.7954856192234,1,0,0,17.234771748503807
1282311000,1071.69,,1102.4653606147726,1,0,0,16.840859480753537
1282570200,1067.36,,1102.4653606147726,1,0,0,16.673655232128283
1282656600,1051.87,,1088.1692420979657,1,0,0,16.95982271554768
1282743000,1055.33,,1083.4213178881691,1,0,0,17.14483537872286
1282829400,1047.22,,1083.4213178881691,1,0,0,17.066632851671223
1282915800,1064.59,,1083.4213178881691,1,0,0,17.669730505123276
1283175000,1048.92,,1083.4213178881691,1,0,0,17.536178326185897
1283261400,1049.33,,1082.365596166428,1,0,0,17.30216558860119
1283347800,1080.29,,1082.365596166428,1,0,0,18.34986804655825
1283434200,1090.1,1049.7003671051934,,1,0,0,17.739877471804085
1283520600,1104.51,1064.364830394674,,1,0,0,17.544171938103794
1283866200,1091.84,1064.364830394674,,1,0,0,17.245302513953515
1283952600,1098.87,1064.779162619686,,1,0,0,16.829209477242554
1284039000,1104.18,1073.7022463577175,,1,0,0,16.441408800296664
1284125400,1109.55,1077.2010217219458,,1,0,0,15.764165314561192
1284384600,1121.9,1088.581919549751,,1,0,0,15.661010649235388
1284471000,1121.1,1092.075227594776,,1,0,0,15.38379560286143
1284557400,1125.07,1092.075227594776,,1,0,0,15.129953059799893
1284643800,1124.66,1094.9088343517687,,1,0,0,14.517813555528468
1284730200,1125.59,1100.6159509165918,,1,0,0,14.126541158705004
1284989400,1142.71,1108.1603558249326,,1,0,0,14.493931075940361
1285075800,1139.78,1115.1318202424393,,1,0,0,14.342221713373187
1285162200,1134.28,1115.1318202424393,,1,0,0,14.23206301956083
1285248600,1124.83,1115.1318202424393,,1,0,0,14.214058518163629
1285335000,1148.67,1115.1318202424393,,1,0,0,14.91805433829481
1285594200,1142.16,1118.0184667610645,,1,0,0,14.418193314130901
1285680600,1147.7,1118.0184667610645,,1,0,0,14.667608077407271
1285767000,1144.73,1118.0184667610645,,1,0,0,14.217778929021046
1285853400,1141.2,1118.0184667610645,,1,0,0,14.707937576948126
1285939800,1146.24,1118.0184667610645,,1,0,0,14.434513464308965
1286199000,1137.03,1118.0184667610645,,1,0,0,14.567048216858339
1286285400,1160.75,1120.7430530539668,,1,0,0,15.364401915654172
1286371800,1159.97,1129.21474774857,,1,0,0,14.801230350250304
1286458200,1158.06,1129.21474774857,,1,0,0,14.633999610946697
1286544600,1165.15,1133.1882456763417,,1,0,0,14.456571067307653
1286803800,1165.32,1138.3979211087076,,1,0,0,13.899673133928541
1286890200,1169.77,1138.3979211087076,,1,0,0,14.111839338647924
1286976600,1178.1,1150.060216098053,,1,0,0,14.147422243030224
1287063000,1173.81,1150.060216098053,,1,0,0,14.006892082813783
1287149400,1176.19,1150.060216098053,,1,0,0,14.012114076898524
