time,close,Up Trend,Down Trend,Macro Score Heatmap,Rate Hike,Rate Cut,ATR
1279027800,64.2,59.986958251537274,,1,0,0,1.8560930220561869
1279114200,63.97,60.45826242638354,,1,0,0,1.7892292347664593
1279200600,63.38,60.45826242638354,,1,0,0,1.7678564322831407
1279287000,61.07001,60.45826242638354,,1,0,0,1.819438115691488
1279546200,61.33,60.45826242638354,,1,0,0,1.7844789645706671
1279632600,62.3595,60.45826242638354,,1,0,0,1.8184440385299054
1279719000,61.24001,60.45826242638354,,1,0,0,1.8221258929206265
1279805400,63.42,60.45826242638354,,1,0,0,1.8648304719977244
1279891800,64.98,60.45826242638354,,1,0,0,1.8866282954264586
1280151000,66.46001,61.98942943125935,,1,0,0,1.8661548457531398
1280237400,66.22,63.00948648813342,,1,0,0,1.8250009281993436
1280323800,65.14999,63.00948648813342,,1,0,0,1.8125001476136764
1280410200,64.98,63.00948648813342,,1,0,0,1.8287508513555564
1280496600,65.02,63.00948648813342,,1,0,0,1.8259822191158734
1280755800,66.151,63.00948648813342,,1,0,0,1.8041256320361687
1280842200,65.62,63.00948648813342,,1,0,0,1.7781166583192995
1280928600,66.31,63.00948648813342,,1,0,0,1.7125368970107782
1281015000,65.53,63.00948648813342,,1,0,0,1.6509264043671514
1281101400,65.14,63.00948648813342,,1,0,0,1.6522888040552122
1281360600,65.86,63.00948648813342,,1,0,0,1.6242674609084113
1281447000,64.62,63.00948648813342,,1,0,0,1.6318197851292395
1281533400,62.08,,65.99438502961118,1,0,0,1.7088326576200088
1281619800,61.77,,64.76993652665007,1,0,0,1.686058896361437
1281706200,61.07001,,64.46844687398506,1,0,0,1.6227689751927632
1281965400,61.56,,64.28710668658655,1,0,0,1.6168569055361373
1282051800,62.62,,64.28710668658655,1,0,0,1.6152956979978417
1282138200,62.81,,64.28710668658655,1,0,0,1.6063452909979958
1282224600,61.09,,64.28710668658655,1,0,0,1.6281849130695678
1282311000,61.14999,,63.751363077069435,1,0,0,1.5868859907074557
1282570200,60.32001,,63.751363077069435,1,0,0,1.590679848514066
1282656600,59.63,,62.659161092426245,1,0,0,1.5856320021916332
1282743000,60.52991,,62.659161092426245,1,0,0,1.6002290020350878
1282829400,60.08,,62.659161092426245,1,0,0,1.5873555018897245
1282915800,61.64999,,62.659161092426245,1,0,0,1.633972966040458
1283175000,60.3,,62.659161092426245,1,0,0,1.6165463256089965
1283261400,60.17999,,62.659161092426245,1,0,0,1.5889365880654969
1283347800,62.50999,,62.659161092426245,1,0,0,1.6447275460608186
1283434200,63.2,59.64321105325842,,1,0,0,1.6062327213421888
1283520600,64.33,60.93849994793257,,1,0,0,1.5865018126748893
1283866200,63.11,60.93849994793257,,1,0,0,1.5746088260552544
1283952600,63.48,60.93849994793257,,1,0,0,1.5253510527655934
1284039000,63.52,60.93849994793257,,1,0,0,1.5192552632823368
1284125400,63.72,60.93849994793257,,1,0,0,1.4650220301907415
1284384600,65.27,62.013440314254694,,1,0,0,1.4860918851771174
1284471000,64.99001,62.42008478282924,,1,0,0,1.4413717505216093
1284557400,65.3575,62.42008478282924,,1,0,0,1.4269887683414944
1284643800,64.94,62.42008478282924,,1,0,0,1.3979181420313875
1284730200,65.21001,62.42008478282924,,1,0,0,1.386638274743431
1284989400,67.02251,63.252428448514266,,1,0,0,1.4468783979760433
1285075800,66.63,64.25068260366284,,1,0,0,1.4078149409777547
1285162200,65.84,64.25068260366284,,1,0,0,1.4193988737650582
1285248600,64.88,64.25068260366284,,1,0,0,1.425156097067554
1285335000,66.99001,64.25068260366284,,1,0,0,1.4790735187055863
1285594200,66.82001,64.25068260366284,,1,0,0,1.419854695940901
1285680600,67.48,64.25068260366284,,1,0,0,1.4527943605165503
1285767000,67.67,64.77456139175818,,1,0,0,1.4083090490510823
1285853400,67.5,64.94560525258237,,1,0,0,1.4220012598331475
1285939800,67.86,65.02904172732414,,1,0,0,1.39257188413078
1286199000,66.94,65.02904172732414,,1,0,0,1.4088174638357238
1286285400,68.84,65.21637304913256,,1,0,0,1.456044073561744
1286371800,68.61,65.84974024421929,,1,0,0,1.4120409254501909
1286458200,68.41,65.84974024421929,,1,0,0,1.3940380022037484
1286544600,69.28,66.13058959781763,,1,0,0,1.4026781449034809
1286803800,69.34,66.86128063803586,,1,0,0,1.3539154202675179
1286890200,69.52,66.86128063803586,,1,0,0,1.3579221759626952
1286976600,70.58,67.74091551680905,,1,0,0,1.3768991633939318
1287063000,70.53,67.76370396512814,,1,0,0,1.354263508865794
1287149400,70.28999,67.90733356861531,,1,0,0,1.354673258232523
1287408600,70.88,68.09459321175379,,1,0,0,1.3129115969301997
1287495000,69.5,68.09459321175379,,1,0,0,1.3569893400066135
1287581400,70.21001,68.09459321175379,,1,0,0,1.3459536728632837
1287667800,69.87,68.09459321175379,,1,0,0,1.401956267658764
1287754200,70.32001,68.09459321175379,,1,0,0,1.346817248540281
1288013400,70.74001,68.3171774260585,,1,0,0,1.3391867307874041
1288099800,70.69,68.3171774260585,,1,0,0,1.3278155357311614
1288186200,70.50999,68.3171774260585,,1,0,0,1.3151151403217922
1288272600,70.08,68.3171774260585,,1,0,0,1.3190354874416645
1288359000,70.3,68.3171774260585,,1,0,0,1.2848186669101174
1288618200,69.82001,68.3171774260585,,1,0,0,1.325903047845109
1288704600,71.27,68.3171774260585,,1,0,0,1.3376235444276017
1288791000,71.55,68.43981259595576,,1,0,0,1.322079005539916
1288877400,73.36,70.27583133636018,,1,0,0,1.358359076572779
1288963800,73.77,71.05894120272417,,1,0,0,1.3112627139604378
1289226600,73.71249,71.05894120272417,,1,0,0,1.2740296629632633
1289313000,72.73,71.05894120272417,,1,0,0,1.305884687037316
1289399400,73.53999,71.05894120272417,,1,0,0,1.3154643522489362
1289485800,73.25,71.05894120272417,,1,0,0,1.2986440413740128
1289572200,72.03,71.05894120272417,,1,0,0,1.302313038418726
1289831400,72.03999,71.05894120272417,,1,0,0,1.2721485356745312
1289917800,70.64,,73.54313968942026,1,0,0,1.3162807831263506
1290004200,70.83,,73.19933172047823,1,0,0,1.2665471557601822
1290090600,72.21001,,73.19933172047823,1,0,0,1.301079501777312
1290177000,72.45,,73.19933172047823,1,0,0,1.2852881087932182
1290436200,72.802,,73.19933172047823,1,0,0,1.2827675295937024
1290522600,72.1075,,73.19933172047823,1,0,0,1.284141277479867
1290609000,73.73,70.62761255992481,,1,0,0,1.309738329088448
1290781800,73.39,70.94985130393233,,1,0,0,1.2590427341535595
1291041000,73.33,70.94985130393233,,1,0,0,1.2748246817140196
1291127400,72.75,70.94985130393233,,1,0,0,1.2659093473058751
1291213800,74.38,71.07076442056666,,1,0,0,1.3054879653554552
1291300200,75.13,72.28208547851,,1,0,0,1.2786666821157802
1291386600,75.67,72.813371430659,,1,0,0,1.2687619191075101
1291645800,76.14,73.4900462875931,,1,0,0,1.2388510677426878
1291732200,76.58,74.4135401588338,,1,0,0,1.22893384861821
1291818600,76.53,74.4135401588338,,1,0,0,1.1868664308597663
1291905000,76.78999,74.59151527865538,,1,0,0,1.1449474000840685
1291991400,77.745,75.15136375078983,,1,0,0,1.146736871506635
1292250600,77.35001,75.59773437571084,,1,0,0,1.1269692378275897
1292337000,77.31,75.59773437571084,,1,0,0,1.0850435779827616
1292423400,77.07001,75.59773437571084,,1,0,0,1.0889690366982787
1292509800,77.78,75.59773437571084,,1,0,0,1.0904712483626873
1292596200,78.02,75.6753942854039,,1,0,0,1.0754383020510667
1292855400,78.33,76.3448523568635,,1,0,0,1.0614791376188475
1292941800,79.201,76.92237162117715,,1,0,0,1.0535163420746443
1293028200,78.82001,77.04242945905943,,1,0,0,1.0126223176407407
1293114600,78.72,77.0461910131535,,1,0,0,0.9767207235235453
1293460200,78.96001,77.0461910131535,,1,0,0,0.9633842432718632
1293546600,78.74001,77.09656292065434,,1,0,0,0.9402853687524445
1293633000,78.91,77.25990862858889,,1,0,0,0.8931214138415555
1293719400,78.75999,77.43541076573,,1,0,0,0.8621848842814442
1293805800,78.24001,77.43541076573,,1,0,0,0.8513145354041978
1294065000,79.60001,77.6319887702413,,1,0,0,0.9176484971610407
1294151400,78.422,77.6319887702413,,1,0,0,1.0185293187923954
1294237800,79.34,77.6319887702413,,1,0,0,1.0350707960215104
1294324200,78.97,77.6319887702413,,1,0,0,1.0239950248771168
